comparacao,ANO_ELEICAO_ANALISE,ESFERA,tipo_receita,variavel,teste,n_grupos_validos,estatistica,p_valor
cristaos_direita_centro_esquerda,2012,municipal,Recursos proprios,valor_receita,anova_um_fator,3,3.5439484691307848,0.028928893860259604
cristaos_direita_centro_esquerda,2012,municipal,Recursos proprios,pct_receita_tipo,anova_um_fator,3,6.175250111521805,0.002086825356285843
cristaos_direita_centro_esquerda,2012,municipal,Recursos de outros candidatos/comites,valor_receita,anova_um_fator,3,0.7104716130510543,0.491432815925741
cristaos_direita_centro_esquerda,2012,municipal,Recursos de outros candidatos/comites,pct_receita_tipo,anova_um_fator,3,13.501076441256584,1.3901691169000397e-06
cristaos_direita_centro_esquerda,2012,municipal,Recursos de pessoas juridicas,valor_receita,anova_um_fator,3,0.8105856133326466,0.4446216870053617
cristaos_direita_centro_esquerda,2012,municipal,Recursos de pessoas juridicas,pct_receita_tipo,anova_um_fator,3,6.535793983763507,0.0014556858263503319
cristaos_direita_centro_esquerda,2012,municipal,Recursos de partido politico,valor_receita,anova_um_fator,3,1.1832865149703489,0.3063058383466558
cristaos_direita_centro_esquerda,2012,municipal,Recursos de partido politico,pct_receita_tipo,anova_um_fator,3,25.727037922400296,7.087593035380463e-12
cristaos_direita_centro_esquerda,2012,municipal,Comercializacao de bens e/ou realizacao de eventos,valor_receita,anova_um_fator,3,0.5973758900782798,0.5502698420242166
cristaos_direita_centro_esquerda,2012,municipal,Comercializacao de bens e/ou realizacao de eventos,pct_receita_tipo,anova_um_fator,3,0.5973758900782806,0.5502698420242161
cristaos_direita_centro_esquerda,2012,municipal,Recursos de doacoes pela Internet,valor_receita,anova_um_fator,3,1.383462060609328,0.2507485989453308
cristaos_direita_centro_esquerda,2012,municipal,Recursos de doacoes pela Internet,pct_receita_tipo,anova_um_fator,3,1.383462060609334,0.25074859894532936
cristaos_direita_centro_esquerda,2014,federal,Recursos de pessoas fisicas,valor_receita,anova_um_fator,3,5.406160168082192,0.005035826761937426
cristaos_direita_centro_esquerda,2014,federal,Recursos de pessoas fisicas,pct_receita_tipo,anova_um_fator,3,0.47777103994884523,0.620736088261235
