ANO_ELEICAO_ANALISE,ESFERA,IDEOLOGIA_PARTIDO,candidatos,eleitos,chance_eleicao
2012,municipal,centro_ou_indefinido,3224,226,0.07009925558312655
2012,municipal,direita,5533,597,0.10789806614856316
2012,municipal,esquerda,3387,273,0.08060230292294066
2014,estadual,centro_ou_indefinido,225,2,0.008888888888888889
2014,estadual,direita,242,21,0.08677685950413223
2014,estadual,esquerda,108,10,0.09259259259259259
2014,federal,centro_ou_indefinido,91,0,0.0
2014,federal,direita,116,5,0.04310344827586207
2014,federal,esquerda,43,3,0.06976744186046512
2016,municipal,centro_ou_indefinido,4478,321,0.07168378740509156
2016,municipal,direita,6488,577,0.08893341553637485
2016,municipal,esquerda,2905,240,0.08261617900172118
2018,estadual,centro_ou_indefinido,236,4,0.01694915254237288
2018,estadual,direita,283,13,0.045936395759717315
2018,estadual,esquerda,131,4,0.030534351145038167
2018,federal,centro_ou_indefinido,101,4,0.039603960396039604
2018,federal,direita,138,8,0.057971014492753624
2018,federal,esquerda,63,4,0.06349206349206349
2020,municipal,centro_ou_indefinido,3197,163,0.0509852987175477
2020,municipal,direita,9981,743,0.07444143873359382
2020,municipal,esquerda,4172,243,0.058245445829338445
2022,estadual,centro_ou_indefinido,177,1,0.005649717514124294
2022,estadual,direita,371,10,0.026954177897574125
2022,estadual,esquerda,129,5,0.03875968992248062
2022,federal,centro_ou_indefinido,115,3,0.02608695652173913
2022,federal,direita,227,6,0.02643171806167401
2022,federal,esquerda,64,2,0.03125
2024,municipal,centro_ou_indefinido,2824,205,0.07259206798866856
2024,municipal,direita,8262,714,0.08641975308641975
2024,municipal,esquerda,3178,252,0.07929515418502203
