ANO_ELEICAO_ANALISE,SG_UF,SG_UE,NM_UE,codigo_ibge_municipio,total_candidatos,candidatos_cristaos,eleitos_total,cristaos_eleitos,pct_cristaos,chance_eleicao_cristaos
2012,AC,01007,BUJARI,,68,1,9,0,0.014705882352941176,0.0
2012,AC,01015,CAPIXABA,,88,1,9,0,0.011363636363636364,0.0
2012,AC,01023,PORTO ACRE,,105,3,9,1,0.02857142857142857,0.3333333333333333
2012,AC,01031,SANTA ROSA DO PURUS,,44,1,9,0,0.022727272727272728,0.0
2012,AC,01040,MARECHAL THAUMATURGO,,79,1,9,0,0.012658227848101266,0.0
2012,AC,01058,BRASILÉIA,,134,5,11,0,0.03731343283582089,0.0
2012,AC,01066,PORTO WALTER,,75,3,9,0,0.04,0.0
2012,AC,01074,CRUZEIRO DO SUL,,171,3,14,0,0.017543859649122806,0.0
2012,AC,01082,RODRIGUES ALVES,,57,0,9,0,0.0,
2012,AC,01090,MÂNCIO LIMA,,82,1,9,0,0.012195121951219513,0.0
2012,AC,01104,JORDÃO,,49,1,9,1,0.02040816326530612,1.0
2012,AC,01112,EPITACIOLÂNDIA,,107,1,9,0,0.009345794392523364,0.0
2012,AC,01120,ACRELÂNDIA,,93,1,9,0,0.010752688172043012,0.0
2012,AC,01139,FEIJÓ,,95,0,13,0,0.0,
2012,AC,01392,RIO BRANCO,,338,8,17,1,0.023668639053254437,0.125
2012,AC,01457,SENA MADUREIRA,,135,3,13,0,0.022222222222222223,0.0
2012,AC,01473,TARAUACÁ,,85,3,11,2,0.03529411764705882,0.6666666666666666
2012,AC,01490,XAPURI,,74,3,9,1,0.04054054054054054,0.3333333333333333
2012,AC,01511,PLÁCIDO DE CASTRO,,86,0,11,0,0.0,
2012,AC,01538,SENADOR GUIOMARD,,102,2,9,0,0.0196078431372549,0.0
2012,AC,01554,MANOEL URBANO,,68,1,9,0,0.014705882352941176,0.0
2012,AC,01570,ASSIS BRASIL,,53,0,9,0,0.0,
2012,AL,27006,PARIPUEIRA,2706448,31,1,9,0,0.03225806451612903,0.0
2012,AL,27014,ÁGUA BRANCA,2700102,66,0,11,0,0.0,
2012,AL,27022,PARICONHA,2706422,44,0,9,0,0.0,
2012,AL,27030,ANADIA,2700201,40,0,11,0,0.0,
2012,AL,27049,ESTRELA DE ALAGOAS,2702553,49,0,11,0,0.0,
2012,AL,27057,ARAPIRACA,2700300,170,5,15,0,0.029411764705882353,0.0
2012,AL,27065,JEQUIÁ DA PRAIA,2703759,36,0,9,0,0.0,
2012,AL,27073,ATALAIA,2700409,85,0,13,0,0.0,
2012,AL,27081,CAMPESTRE,2701357,62,0,9,0,0.0,
2012,AL,27090,BARRA DE SANTO ANTÔNIO,2700508,89,2,9,0,0.02247191011235955,0.0
2012,AL,27111,BARRA DE SÃO MIGUEL,2700607,69,0,9,0,0.0,
2012,AL,27138,BATALHA,2700706,74,1,9,0,0.013513513513513514,0.0
2012,AL,27154,BELÉM,2700805,36,0,9,0,0.0,
2012,AL,27170,BELO MONTE,2700904,29,0,9,0,0.0,
2012,AL,27197,BOCA DA MATA,2701001,67,1,9,0,0.014925373134328358,0.0
2012,AL,27219,BRANQUINHA,2701100,61,0,9,0,0.0,
2012,AL,27235,CACIMBINHAS,2701209,36,1,9,0,0.027777777777777776,0.0
2012,AL,27251,CAJUEIRO,2701308,63,1,11,0,0.015873015873015872,0.0
2012,AL,27278,CAMPO ALEGRE,2701407,145,1,15,0,0.006896551724137931,0.0
2012,AL,27294,CAMPO GRANDE,2701506,30,0,9,0,0.0,
2012,AL,27316,CANAPI,2701605,66,0,9,0,0.0,
2012,AL,27332,CAPELA,2701704,72,0,11,0,0.0,
2012,AL,27359,CARNEIROS,2701803,52,0,9,0,0.0,
2012,AL,27375,CHÃ PRETA,2701902,44,1,9,0,0.022727272727272728,0.0
2012,AL,27391,COITÉ DO NÓIA,2702009,31,0,9,0,0.0,
2012,AL,27413,COLÔNIA LEOPOLDINA,2702108,41,0,11,0,0.0,
2012,AL,27430,COQUEIRO SECO,2702207,65,1,9,0,0.015384615384615385,0.0
2012,AL,27456,CORURIPE,2702306,96,3,15,0,0.03125,0.0
2012,AL,27472,DELMIRO GOUVEIA,2702405,66,1,11,0,0.015151515151515152,0.0
2012,AL,27499,DOIS RIACHOS,2702504,33,0,9,0,0.0,
2012,AL,27510,FEIRA GRANDE,2702603,56,4,11,0,0.07142857142857142,0.0
2012,AL,27537,FELIZ DESERTO,2702702,47,0,9,0,0.0,
2012,AL,27553,FLEXEIRAS,2702801,60,0,9,0,0.0,
2012,AL,27570,GIRAU DO PONCIANO,2702900,49,0,9,0,0.0,
2012,AL,27596,IBATEGUARA,2703007,61,1,11,0,0.01639344262295082,0.0
2012,AL,27618,IGACI,2703106,51,0,11,0,0.0,
2012,AL,27634,IGREJA NOVA,2703205,58,1,11,0,0.017241379310344827,0.0
2012,AL,27650,INHAPI,2703304,47,2,11,0,0.0425531914893617,0.0
2012,AL,27677,JACARÉ DOS HOMENS,2703403,22,0,9,0,0.0,
2012,AL,27693,JACUÍPE,2703502,63,0,9,0,0.0,
2012,AL,27715,JAPARATINGA,2703601,46,0,9,0,0.0,
2012,AL,27731,JARAMATAIA,2703700,31,1,9,0,0.03225806451612903,0.0
2012,AL,27758,JOAQUIM GOMES,2703809,66,1,11,0,0.015151515151515152,0.0
2012,AL,27774,JUNDIÁ,2703908,53,0,9,0,0.0,
2012,AL,27790,JUNQUEIRO,2704005,40,0,11,0,0.0,
2012,AL,27812,LAGOA DA CANOA,2704104,72,0,9,0,0.0,
2012,AL,27839,LIMOEIRO DE ANADIA,2704203,46,0,11,0,0.0,
2012,AL,27855,MACEIÓ,2704302,522,15,21,2,0.028735632183908046,0.13333333333333333
2012,AL,27871,MAJOR ISIDORO,2704401,47,1,11,0,0.02127659574468085,0.0
2012,AL,27898,MARAGOGI,2704500,87,0,9,0,0.0,
2012,AL,27910,MARAVILHA,2704609,44,0,9,0,0.0,
2012,AL,27936,MARECHAL DEODORO,2704708,168,2,13,0,0.011904761904761904,0.0
2012,AL,27952,MARIBONDO,2704807,51,0,9,0,0.0,
2012,AL,27979,MAR VERMELHO,2704906,36,0,9,0,0.0,
2012,AL,27995,MATA GRANDE,2705002,44,0,11,0,0.0,
2012,AL,28010,MATRIZ DE CAMARAGIBE,2705101,90,4,11,1,0.044444444444444446,0.25
2012,AL,28037,MESSIAS,2705200,103,4,9,0,0.038834951456310676,0.0
2012,AL,28053,MINADOR DO NEGRÃO,2705309,18,0,9,0,0.0,
2012,AL,28070,MONTEIRÓPOLIS,2705408,42,0,9,0,0.0,
2012,AL,28096,MURICI,2705507,45,1,11,0,0.022222222222222223,0.0
2012,AL,28118,NOVO LINO,2705606,69,0,9,0,0.0,
2012,AL,28134,OLHO D'ÁGUA DAS FLORES,2705705,82,1,11,0,0.012195121951219513,0.0
2012,AL,28150,OLHO D'ÁGUA DO CASADO,2705804,43,1,9,1,0.023255813953488372,1.0
2012,AL,28177,OLHO D'ÁGUA GRANDE,2705903,35,2,9,1,0.05714285714285714,0.5
2012,AL,28193,OLIVENÇA,2706000,37,0,9,0,0.0,
2012,AL,28215,OURO BRANCO,2706109,57,1,9,0,0.017543859649122806,0.0
2012,AL,28231,PALESTINA,2706208,37,0,9,0,0.0,
2012,AL,28258,PALMEIRA DOS ÍNDIOS,2706307,176,1,15,0,0.005681818181818182,0.0
2012,AL,28274,PÃO DE AÇÚCAR,2706406,67,0,11,0,0.0,
2012,AL,28290,PASSO DE CAMARAGIBE,2706505,79,2,9,0,0.02531645569620253,0.0
2012,AL,28312,PAULO JACINTO,2706604,68,1,9,0,0.014705882352941176,0.0
2012,AL,28339,PENEDO,2706703,135,3,13,0,0.022222222222222223,0.0
2012,AL,28355,PIAÇABUÇU,2706802,57,2,11,0,0.03508771929824561,0.0
2012,AL,28371,PILAR,2706901,102,0,9,0,0.0,
2012,AL,28398,PINDOBA,2707008,22,0,9,0,0.0,
2012,AL,28410,PIRANHAS,2707107,66,1,9,0,0.015151515151515152,0.0
2012,AL,28436,POÇO DAS TRINCHEIRAS,2707206,36,0,9,0,0.0,
2012,AL,28452,PORTO CALVO,2707305,96,2,11,0,0.020833333333333332,0.0
