ANO_ELEICAO_ANALISE,ESFERA,SG_UF,total_candidatos,candidatos_cristaos,eleitos_total,cristaos_eleitos,pct_cristaos,chance_eleicao_cristaos
2012,municipal,AC,2188,42,225,6,0.019195612431444242,0.14285714285714285
2012,municipal,AL,7176,102,1049,6,0.014214046822742474,0.058823529411764705
2012,municipal,AM,7315,136,708,6,0.018591934381408066,0.04411764705882353
2012,municipal,AP,1782,52,166,4,0.029180695847362513,0.07692307692307693
2012,municipal,BA,33912,2531,4540,228,0.07463434772351969,0.0900829711576452
2012,municipal,CE,13602,172,2132,17,0.012645199235406558,0.09883720930232558
2012,municipal,ES,9263,234,844,18,0.025261794235129007,0.07692307692307693
2012,municipal,GO,19172,614,2493,50,0.03202587106196537,0.08143322475570032
2012,municipal,MA,17319,674,2373,77,0.03891679658178879,0.1142433234421365
2012,municipal,MG,70328,1854,8438,166,0.026362188601979298,0.0895361380798274
2012,municipal,MS,6660,172,833,16,0.025825825825825825,0.09302325581395349
2012,municipal,MT,10114,220,1390,20,0.02175202689341507,0.09090909090909091
2012,municipal,PA,17746,514,1699,39,0.028964273639129946,0.07587548638132295
2012,municipal,PB,11447,120,2185,17,0.010483096007687603,0.14166666666666666
2012,municipal,PE,15982,237,2062,16,0.014829182830684521,0.06751054852320675
2012,municipal,PI,9413,210,2136,32,0.022309571868692233,0.1523809523809524
2012,municipal,PR,29317,565,3866,54,0.01927209468908824,0.09557522123893805
2012,municipal,RJ,21070,507,1188,14,0.02406264831514001,0.027613412228796843
2012,municipal,RN,7940,56,1618,8,0.007052896725440806,0.14285714285714285
2012,municipal,RO,4861,115,533,9,0.023657683604196667,0.0782608695652174
2012,municipal,RR,1583,42,151,3,0.026531901452937462,0.07142857142857142
2012,municipal,RS,26611,269,4904,30,0.010108601706061404,0.11152416356877323
2012,municipal,SC,16254,174,2864,22,0.010705057216685123,0.12643678160919541
2012,municipal,SE,5386,345,788,45,0.06405495729669514,0.13043478260869565
2012,municipal,SP,77335,2018,6943,168,0.02609426520980151,0.08325074331020813
2012,municipal,TO,6919,169,1291,25,0.024425495013730307,0.14792899408284024
2014,estadual,AC,531,14,24,1,0.026365348399246705,0.07142857142857142
2014,estadual,AL,308,9,27,1,0.02922077922077922,0.1111111111111111
2014,estadual,AM,638,12,24,1,0.018808777429467086,0.08333333333333333
