ANO_ELEICAO_ANALISE,ESFERA,SG_UF_VOTO,votos_cristaos,candidatos_cristaos,municipios_com_votos
2012,municipal,AL,30274,86,49
2012,municipal,AM,1030,17,6
2012,municipal,BA,422011,2081,364
2012,municipal,CE,45414,147,78
2012,municipal,ES,52145,206,61
2012,municipal,GO,100674,520,179
2012,municipal,MG,381727,1689,562
2012,municipal,MS,27640,150,58
2012,municipal,MT,29705,191,94
2012,municipal,PB,28337,108,66
2012,municipal,PE,77190,208,86
2012,municipal,PI,30913,178,100
2012,municipal,PR,128863,504,223
2012,municipal,RJ,165127,444,85
2012,municipal,RN,18151,48,27
2012,municipal,RS,85335,263,145
2012,municipal,SC,46838,163,99
2012,municipal,SE,76265,283,66
2012,municipal,SP,699570,1881,489
2012,municipal,TO,17780,147,78
2012,outro,AL,25265,3,3
2012,outro,AM,375,1,1
2012,outro,BA,109715,31,30
2012,outro,CE,36714,7,6
2012,outro,ES,7716,2,2
2012,outro,GO,17529,12,12
2012,outro,MG,206934,22,22
2012,outro,MS,457171,5,5
2012,outro,MT,5362,4,4
2012,outro,PB,6675,3,3
2012,outro,PE,122943,6,6
2012,outro,PI,24393,7,7
2012,outro,PR,48596,9,9
2012,outro,RJ,19295,6,6
2012,outro,RN,14192,3,3
2012,outro,RS,46275,5,5
2012,outro,SC,19754,4,4
2012,outro,SE,119369,15,13
2012,outro,SP,102828,20,20
2012,outro,TO,5884,4,4
2014,estadual,AL,53980,9,102
2014,estadual,AM,1362,12,9
2014,estadual,BA,411942,34,416
2014,estadual,CE,15155,15,154
2014,estadual,DF,66050,34,1
2014,estadual,ES,69904,23,78
2014,estadual,GO,85119,21,245
2014,estadual,MG,117693,30,755
2014,estadual,MS,3486,6,66
2014,estadual,MT,3431,8,94
2014,estadual,PB,30546,8,218
2014,estadual,PE,434825,13,185
2014,estadual,PI,49944,7,223
2014,estadual,PR,104255,21,396
2014,estadual,RJ,72240,43,92
2014,estadual,RN,26414,3,163
2014,estadual,RS,95167,10,493
2014,estadual,SC,92410,11,291
2014,estadual,SE,119033,15,75
2014,estadual,SP,452602,60,637
2014,estadual,TO,33694,12,137
2014,federal,AL,15388,2,101
2014,federal,AM,1439,3,9
2014,federal,BA,44581,13,408
2014,federal,CE,1293,1,81
2014,federal,DF,3069,3,1
2014,federal,ES,11208,10,76
2014,federal,GO,26921,3,177
2014,federal,MG,164199,24,832
2014,federal,MS,239316,2,79
2014,federal,MT,737,1,41
2014,federal,PB,36745,2,218
2014,federal,PE,252352,7,185
2014,federal,PI,828,1,57
2014,federal,PR,91277,11,381
2014,federal,RJ,58856,22,91
2014,federal,RS,230758,6,497
2014,federal,SC,38552,5,282
2014,federal,SE,54611,5,75
2014,federal,SP,886205,37,645
2014,federal,TO,29663,1,139
2014,outro,SE,46346,1,75
2014,outro,SP,11118,1,424
2016,municipal,AC,12237,46,18
2016,municipal,AL,20972,86,46
2016,municipal,AM,36100,151,50
2016,municipal,AP,14197,37,13
2016,municipal,BA,507943,2525,370
2016,municipal,CE,57929,176,87
2016,municipal,ES,45515,258,61
2016,municipal,GO,99708,649,186
2016,municipal,MA,117111,564,160
2016,municipal,MG,379771,1923,602
2016,municipal,MS,32528,179,62
2016,municipal,MT,26269,198,90
2016,municipal,PA,144644,640,131
2016,municipal,PB,26678,100,63
2016,municipal,PE,79724,282,101
2016,municipal,PI,38001,169,99
2016,municipal,PR,120142,582,240
2016,municipal,RJ,202828,484,78
2016,municipal,RN,18790,68,44
2016,municipal,RO,25817,130,45
2016,municipal,RR,6707,38,13
2016,municipal,RS,80784,278,146
2016,municipal,SC,42579,173,94
2016,municipal,SE,80411,368,65
2016,municipal,SP,590098,2134,516
2016,municipal,TO,22561,157,81
2016,outro,AC,2472,3,3
2016,outro,AL,27378,3,3
2016,outro,AM,4800,4,4
2016,outro,AP,104,1,1
2016,outro,BA,254891,44,37
2016,outro,CE,49803,6,6
2016,outro,ES,6158,1,1
2016,outro,GO,20958,8,7
2016,outro,MA,66206,18,17
2016,outro,MG,113384,28,27
2016,outro,MS,115784,5,5
2016,outro,MT,11402,6,6
2016,outro,PA,42768,14,14
2016,outro,PB,8406,5,5
2016,outro,PE,72721,8,8
2016,outro,PI,58407,13,13
2016,outro,PR,217243,8,8
2016,outro,RJ,9574,7,7
2016,outro,RN,6307,2,2
2016,outro,RO,4281,1,1
2016,outro,RR,6910,3,2
2016,outro,RS,12878,4,4
2016,outro,SC,9625,4,4
2016,outro,SE,68939,9,9
2016,outro,SP,141500,31,31
2016,outro,TO,54186,10,10
2018,estadual,AC,8652,21,22
2018,estadual,AL,28258,5,102
2018,estadual,AM,46781,22,62
2018,estadual,AP,20006,23,16
2018,estadual,BA,243576,49,417
2018,estadual,CE,55335,17,181
2018,estadual,DF,38963,28,1
2018,estadual,ES,60272,25,78
2018,estadual,GO,50600,29,236
2018,estadual,MA,166539,19,217
2018,estadual,MG,137008,49,822
2018,estadual,MS,15550,8,79
2018,estadual,MT,24450,14,140
2018,estadual,PA,61678,15,144
2018,estadual,PB,2724,6,103
2018,estadual,PE,123820,21,185
2018,estadual,PI,52966,9,220
2018,estadual,PR,62709,19,392
2018,estadual,RJ,123392,65,92
2018,estadual,RN,30411,6,164
2018,estadual,RO,25188,15,52
2018,estadual,RR,6121,10,15
2018,estadual,RS,28742,9,466
2018,estadual,SC,43642,9,283
2018,estadual,SE,87225,20,75
2018,estadual,SP,247306,57,630
2018,estadual,TO,18478,7,137
2018,federal,AC,9927,3,22
2018,federal,AL,1481,1,77
2018,federal,AM,6481,3,52
2018,federal,AP,19499,6,16
2018,federal,BA,482937,28,417
2018,federal,CE,488127,4,184
2018,federal,DF,15214,3,1
2018,federal,ES,62052,7,78
2018,federal,GO,731,3,93
2018,federal,MA,59400,8,216
2018,federal,MG,341708,40,853
2018,federal,MS,810,1,28
2018,federal,MT,11435,4,134
2018,federal,PA,14202,3,142
2018,federal,PB,130345,7,223
2018,federal,PE,404398,15,185
2018,federal,PI,81133,4,224
2018,federal,PR,61317,10,390
2018,federal,RJ,460123,36,92
2018,federal,RN,8304,1,123
2018,federal,RO,63850,3,52
2018,federal,RR,108449,7,15
2018,federal,RS,132148,6,493
2018,federal,SC,1643,1,106
2018,federal,SE,312928,9,75
2018,federal,SP,527935,51,645
