ANO_ELEICAO_ANALISE,ESFERA,grupo_religiao_resultado,receita_total_count,receita_total_mean,receita_total_median,receita_total_sum,receita_publica_count,receita_publica_mean,receita_publica_median,receita_publica_sum,receita_pessoa_fisica_count,receita_pessoa_fisica_mean,receita_pessoa_fisica_median,receita_pessoa_fisica_sum,receita_recursos_proprios_count,receita_recursos_proprios_mean,receita_recursos_proprios_median,receita_recursos_proprios_sum,receita_partido_ou_candidato_count,receita_partido_ou_candidato_mean,receita_partido_ou_candidato_median,receita_partido_ou_candidato_sum,receita_estimavel_count,receita_estimavel_mean,receita_estimavel_median,receita_estimavel_sum,despesa_contratada_count,despesa_contratada_mean,despesa_contratada_median,despesa_contratada_sum,despesa_paga_count,despesa_paga_mean,despesa_paga_median,despesa_paga_sum,doadores_distintos_count,doadores_distintos_mean,doadores_distintos_median,doadores_distintos_sum,pct_receita_publica_count,pct_receita_publica_mean,pct_receita_publica_median,pct_receita_publica_sum,pct_receita_pessoa_fisica_count,pct_receita_pessoa_fisica_mean,pct_receita_pessoa_fisica_median,pct_receita_pessoa_fisica_sum,pct_receita_recursos_proprios_count,pct_receita_recursos_proprios_mean,pct_receita_recursos_proprios_median,pct_receita_recursos_proprios_sum,log_receita_total_count,log_receita_total_mean,log_receita_total_median,log_receita_total_sum,log_despesa_contratada_count,log_despesa_contratada_mean,log_despesa_contratada_median,log_despesa_contratada_sum
2012,municipal,cristao_derrotado,11048,3489.2466690803763,427.735,38549197.199999996,11048,0.0,0.0,0.0,11048,0.0,0.0,0.0,11048,0.0,0.0,0.0,11048,0.0,0.0,0.0,11048,0.0,0.0,0.0,11048,3057.809400796524,395.0,33782678.26,11048,0.0,0.0,0.0,11048,1.2829471397538017,1.0,14174,8143,0.0,0.0,0.0,8143,0.0,0.0,0.0,8143,0.0,0.0,0.0,11048,4.958517594868577,6.060838650053896,54781.70238810804,11048,4.880980107112235,5.981414211254481,53925.06822337597
2012,municipal,cristao_eleito,1096,7895.435091240875,2385.545,8653396.86,1096,0.0,0.0,0.0,1096,0.0,0.0,0.0,1096,0.0,0.0,0.0,1096,0.0,0.0,0.0,1096,0.0,0.0,0.0,1096,7210.199370437956,2335.975,7902378.51,1096,0.0,0.0,0.0,1096,2.102189781021898,2.0,2304,1073,0.0,0.0,0.0,1073,0.0,0.0,0.0,1073,0.0,0.0,0.0,1096,7.667932150109146,7.777601728074524,8404.053636519624,1096,7.647729554812856,7.756612261590838,8381.91159207489
2012,municipal,nao_cristao,438551,2673.712982252919,600.0,1172559502.08,438551,0.0,0.0,0.0,438551,0.0,0.0,0.0,438551,0.0,0.0,0.0,438551,0.0,0.0,0.0,438551,0.0,0.0,0.0,438551,2347.6265137920104,570.0,1029553955.25,438551,0.0,0.0,0.0,438551,1.3911175667140196,1.0,610076,339106,0.0,0.0,0.0,339106,0.0,0.0,0.0,339106,0.0,0.0,0.0,438551,5.349649845771236,6.398594934535208,2346094.289512821,438551,5.299462033664495,6.3473892096560105,2324084.374325598
2014,estadual,cristao_derrotado,542,21652.525479704796,2569.875,11735668.81,542,0.0,0.0,0.0,542,0.0,0.0,0.0,542,0.0,0.0,0.0,542,0.0,0.0,0.0,542,0.0,0.0,0.0,542,21881.42774907749,2595.53,11859733.84,542,0.0,0.0,0.0,542,5.029520295202952,2.0,2726,392,0.0,0.0,0.0,392,0.0,0.0,0.0,392,0.0,0.0,0.0,542,6.394917911894127,7.851984280484463,3466.045508246617,542,6.47235470701074,7.861912866697681,3508.016251199821
2014,estadual,cristao_eleito,33,223261.07272727275,210435.8,7367615.4,33,0.0,0.0,0.0,33,0.0,0.0,0.0,33,0.0,0.0,0.0,33,0.0,0.0,0.0,33,0.0,0.0,0.0,33,224380.26030303029,210096.22,7404548.59,33,0.0,0.0,0.0,33,24.21212121212121,20.0,799,33,0.0,0.0,0.0,33,0.0,0.0,0.0,33,0.0,0.0,0.0,33,12.063349892268038,12.256940649494572,398.09054644484524,33,12.066252904648861,12.255325654951168,398.18634585341243
2014,estadual,nao_cristao,17456,71398.22467117323,4000.0,1246327409.86,17456,0.0,0.0,0.0,17456,0.0,0.0,0.0,17456,0.0,0.0,0.0,17456,0.0,0.0,0.0,17456,0.0,0.0,0.0,17456,71953.63026982127,4024.51,1256022569.99,17456,0.0,0.0,0.0,17456,7.586617781851513,3.0,132432,13406,0.0,0.0,0.0,13406,0.0,0.0,0.0,13406,0.0,0.0,0.0,17456,7.152871224987757,8.294299608857235,124860.52010338628,17456,7.168136872501769,8.300406889650482,125126.99724639088
2014,federal,cristao_derrotado,242,35983.6929338843,2113.33,8708053.69,242,0.0,0.0,0.0,242,0.0,0.0,0.0,242,0.0,0.0,0.0,242,0.0,0.0,0.0,242,0.0,0.0,0.0,242,36059.514008264465,2113.33,8726402.39,242,0.0,0.0,0.0,242,5.62396694214876,2.0,1361,178,0.0,0.0,0.0,178,0.0,0.0,0.0,178,0.0,0.0,0.0,242,6.55000129568217,7.656108111753306,1585.1003135550852,242,6.59573202513697,7.656108111753306,1596.1671500831467
2014,federal,cristao_eleito,8,1059060.46625,400350.0,8472483.73,8,0.0,0.0,0.0,8,0.0,0.0,0.0,8,0.0,0.0,0.0,8,0.0,0.0,0.0,8,0.0,0.0,0.0,8,1048270.6074999999,379935.505,8386164.859999999,8,0.0,0.0,0.0,8,27.875,27.0,223,8,0.0,0.0,0.0,8,0.0,0.0,0.0,8,0.0,0.0,0.0,8,13.230842269104201,12.899855307086007,105.84673815283361,8,13.213282906853584,12.844809413235375,105.70626325482867
2014,federal,nao_cristao,7071,202281.0647701881,4690.0,1430329408.99,7071,0.0,0.0,0.0,7071,0.0,0.0,0.0,7071,0.0,0.0,0.0,7071,0.0,0.0,0.0,7071,0.0,0.0,0.0,7071,206594.80313816998,4742.4,1460831852.99,7071,0.0,0.0,0.0,7071,10.025173242822797,3.0,70888,5501,0.0,0.0,0.0,5501,0.0,0.0,0.0,5501,0.0,0.0,0.0,7071,7.514644170233678,8.453401058328458,53136.04892772234,7071,7.541022088855656,8.464509457130793,53322.567190298345
2016,municipal,cristao_derrotado,12733,0.0,0.0,0.0,12733,0.0,0.0,0.0,12733,0.0,0.0,0.0,12733,0.0,0.0,0.0,12733,0.0,0.0,0.0,12733,0.0,0.0,0.0,12733,0.0,0.0,0.0,12733,0.0,0.0,0.0,12733,0.0,0.0,0,0,,,0.0,0,,,0.0,0,,,0.0,12733,0.0,0.0,0.0,12733,0.0,0.0,0.0
2016,municipal,cristao_eleito,1138,0.0,0.0,0.0,1138,0.0,0.0,0.0,1138,0.0,0.0,0.0,1138,0.0,0.0,0.0,1138,0.0,0.0,0.0,1138,0.0,0.0,0.0,1138,0.0,0.0,0.0,1138,0.0,0.0,0.0,1138,0.0,0.0,0,0,,,0.0,0,,,0.0,0,,,0.0,1138,0.0,0.0,0.0,1138,0.0,0.0,0.0
2016,municipal,nao_cristao,449567,0.0,0.0,0.0,449567,0.0,0.0,0.0,449567,0.0,0.0,0.0,449567,0.0,0.0,0.0,449567,0.0,0.0,0.0,449567,0.0,0.0,0.0,449567,0.0,0.0,0.0,449567,0.0,0.0,0.0,449567,0.0,0.0,0,0,,,0.0,0,,,0.0,0,,,0.0,449567,0.0,0.0,0.0,449567,0.0,0.0,0.0
