ANO_ELEICAO_ANALISE,grupo,tipo_despesa,valor_despesa,total_grupo,proporcao
2012,Cristãos de direita,Baixa de Estimaveis - Cessao ou locacao de veiculos,1631910.24,29518282.999999996,0.05528472777363101
2012,Cristãos de direita,Baixa de Estimaveis - Publicidade por materiais impressos,18028136.369999997,29518282.999999996,0.6107447499571707
2012,Cristãos de direita,Combustiveis e lubrificantes,1297277.25,29518282.999999996,0.043948262505647775
2012,Cristãos de direita,Publicidade por materiais impressos,3720870.52,29518282.999999996,0.1260530810684348
2012,Cristãos de direita,"Publicidade por placas, estandartes e faixas",975174.08,29518282.999999996,0.03303627382392126
2012,Cristãos de esquerda,Baixa de Estimaveis - Cessao ou locacao de veiculos,847706.07,6480873.06,0.13080121492149702
2012,Cristãos de esquerda,Baixa de Estimaveis - Publicidade por materiais impressos,962108.86,6480873.06,0.14845358813431228
2012,Cristãos de esquerda,Combustiveis e lubrificantes,694457.35,6480873.06,0.10715490699643483
2012,Cristãos de esquerda,Publicidade por materiais impressos,1654761.03,6480873.06,0.2553299554983106
2012,Cristãos de esquerda,"Publicidade por placas, estandartes e faixas",412184.25,6480873.06,0.06360011161829483
2014,Cristãos de direita,Baixa de Estimaveis - Publicidade por materiais impressos,667014.54,18967424.26,0.03516632152351085
2014,Cristãos de direita,Despesas com pessoal,2154753.99,18967424.26,0.11360287830668264
2014,Cristãos de direita,Doacoes financeiras a outros candidatos/comites financeiros/partidos,692985.7,18967424.26,0.03653557227912188
2014,Cristãos de direita,Publicidade por materiais impressos,4102315.74,18967424.26,0.21628217325487292
2014,Cristãos de direita,Servicos prestados por terceiros,1940170.18,18967424.26,0.10228959680580266
2014,Cristãos de esquerda,Baixa de Estimaveis - Publicidade por materiais impressos,1200639.67,11785533.55,0.10187401910200322
2014,Cristãos de esquerda,Despesas com pessoal,1275304.23,11785533.55,0.1082092910422371
2014,Cristãos de esquerda,Doacoes financeiras a outros candidatos/comites financeiros/partidos,2654841.0,11785533.55,0.22526269080113048
2014,Cristãos de esquerda,Publicidade por materiais impressos,1659365.69,11785533.55,0.1407968237466856
2014,Cristãos de esquerda,Servicos prestados por terceiros,733699.18,11785533.55,0.06225421843544792
2018,Cristãos de direita,Atividades de militancia e mobilizacao de rua,3862876.14,34048829.58,0.113451069762146
2018,Cristãos de direita,Despesas com pessoal,4228189.17,34048829.58,0.12418016190734507
2018,Cristãos de direita,Publicidade por adesivos,2963447.02,34048829.58,0.08703520962555213
2018,Cristãos de direita,Publicidade por materiais impressos,8568645.08,34048829.58,0.2516575513959267
2018,Cristãos de direita,Servicos prestados por terceiros,3709523.58,34048829.58,0.1089471686914884
2018,Cristãos de esquerda,Atividades de militancia e mobilizacao de rua,447419.26,8215918.140000001,0.05445760928674491
2018,Cristãos de esquerda,Despesas com pessoal,1182931.35,8215918.140000001,0.1439804206715234
2018,Cristãos de esquerda,Publicidade por adesivos,497385.02999999997,8215918.140000001,0.060539190084968386
2018,Cristãos de esquerda,Publicidade por materiais impressos,2371856.68,8215918.140000001,0.2886903982711785
2018,Cristãos de esquerda,Servicos prestados por terceiros,1055636.8,8215918.140000001,0.12848677189960414
2020,Cristãos de direita,Atividades de militancia e mobilizacao de rua,3239910.2,21466444.7,0.1509290544046169
2020,Cristãos de direita,Despesas com pessoal,3207950.07,21466444.7,0.14944021307822808
2020,Cristãos de direita,Publicidade por adesivos,1640173.24,21466444.7,0.07640637576095682
2020,Cristãos de direita,Publicidade por materiais impressos,5169494.89,21466444.7,0.24081746941541743
2020,Cristãos de direita,Servicos prestados por terceiros,1532173.31,21466444.7,0.07137527109927058
2020,Cristãos de esquerda,Atividades de militancia e mobilizacao de rua,846689.75,6027319.43,0.14047534062750014
2020,Cristãos de esquerda,Despesas com pessoal,996081.84,6027319.43,0.16526116652158254
2020,Cristãos de esquerda,Publicidade por adesivos,429125.06,6027319.43,0.07119666793568298
2020,Cristãos de esquerda,Publicidade por materiais impressos,1567815.54,6027319.43,0.260118209795959
2020,Cristãos de esquerda,Servicos prestados por terceiros,473913.48,6027319.43,0.0786275699345173
2022,Cristãos de direita,Atividades de militancia e mobilizacao de rua,9864357.98,80909004.44,0.12191916151081986
2022,Cristãos de direita,Despesas com pessoal,13255227.39,80909004.44,0.1638288282218295
2022,Cristãos de direita,Publicidade por adesivos,5403152.67,80909004.44,0.066780609987691
2022,Cristãos de direita,Publicidade por materiais impressos,21644089.44,80909004.44,0.2675115036924066
2022,Cristãos de direita,Servicos prestados por terceiros,8062309.26,80909004.44,0.09964662543807219
2022,Cristãos de esquerda,Atividades de militancia e mobilizacao de rua,2332356.7,21713807.62,0.10741352879315968
2022,Cristãos de esquerda,Despesas com pessoal,3198141.88,21713807.62,0.1472860926083861
2022,Cristãos de esquerda,Publicidade por adesivos,1045772.04,21713807.62,0.048161614872039654
2022,Cristãos de esquerda,Publicidade por materiais impressos,5740354.65,21713807.62,0.26436425846900824
2022,Cristãos de esquerda,Servicos prestados por terceiros,2273209.89,21713807.62,0.10468960256911404
