ANO_ELEICAO_ANALISE,ESFERA,grupo,tipo_despesa,valor_despesa,total_grupo,proporcao
2012,municipal,Cristãos de direita,Baixa de Estimaveis - Cessao ou locacao de veiculos,1631910.24,29518282.999999996,0.05528472777363101
2012,municipal,Cristãos de direita,Baixa de Estimaveis - Publicidade por materiais impressos,18028136.369999997,29518282.999999996,0.6107447499571707
2012,municipal,Cristãos de direita,Combustiveis e lubrificantes,1297277.25,29518282.999999996,0.043948262505647775
2012,municipal,Cristãos de direita,Publicidade por materiais impressos,3720870.52,29518282.999999996,0.1260530810684348
2012,municipal,Cristãos de direita,"Publicidade por placas, estandartes e faixas",975174.08,29518282.999999996,0.03303627382392126
2012,municipal,Cristãos de esquerda,Baixa de Estimaveis - Cessao ou locacao de veiculos,847706.07,6480873.06,0.13080121492149702
2012,municipal,Cristãos de esquerda,Baixa de Estimaveis - Publicidade por materiais impressos,962108.86,6480873.06,0.14845358813431228
2012,municipal,Cristãos de esquerda,Combustiveis e lubrificantes,694457.35,6480873.06,0.10715490699643483
2012,municipal,Cristãos de esquerda,Publicidade por materiais impressos,1654761.03,6480873.06,0.2553299554983106
2012,municipal,Cristãos de esquerda,"Publicidade por placas, estandartes e faixas",412184.25,6480873.06,0.06360011161829483
2014,estadual,Cristãos de direita,Baixa de Estimaveis - Cessao ou locacao de veiculos,904285.21,10255763.200000001,0.08817337065660798
2014,estadual,Cristãos de direita,Combustiveis e lubrificantes,678006.27,10255763.200000001,0.06610978205893053
2014,estadual,Cristãos de direita,Despesas com pessoal,1224267.56,10255763.200000001,0.11937361814282138
2014,estadual,Cristãos de direita,Publicidade por materiais impressos,2122755.47,10255763.200000001,0.20698171638752344
2014,estadual,Cristãos de direita,Servicos prestados por terceiros,751966.87,10255763.200000001,0.07332139552520088
2014,estadual,Cristãos de esquerda,Baixa de Estimaveis - Cessao ou locacao de veiculos,325645.94,4481603.52,0.07266281779428807
2014,estadual,Cristãos de esquerda,Combustiveis e lubrificantes,231166.61000000002,4481603.52,0.051581227337129554
2014,estadual,Cristãos de esquerda,Despesas com pessoal,338124.77,4481603.52,0.07544727428275495
2014,estadual,Cristãos de esquerda,Publicidade por materiais impressos,1061417.89,4481603.52,0.23683886476419047
2014,estadual,Cristãos de esquerda,Servicos prestados por terceiros,514151.17,4481603.52,0.11472482286875749
2014,federal,Cristãos de direita,Baixa de Estimaveis - Publicidade por materiais impressos,235351.87,8711661.06,0.027015728502183024
2014,federal,Cristãos de direita,Despesas com pessoal,930486.4299999999,8711661.06,0.10680930118739031
2014,federal,Cristãos de direita,Doacoes financeiras a outros candidatos/comites financeiros/partidos,656444.0,8711661.06,0.07535233470159822
2014,federal,Cristãos de direita,Publicidade por materiais impressos,1979560.27,8711661.06,0.22723109363026572
2014,federal,Cristãos de direita,Servicos prestados por terceiros,1188203.31,8711661.06,0.13639227947649285
2014,federal,Cristãos de esquerda,Baixa de Estimaveis - Publicidade por materiais impressos,972435.6599999999,7303930.03,0.13313868780311958
2014,federal,Cristãos de esquerda,Despesas com pessoal,937179.4599999998,7303930.03,0.12831167003936916
2014,federal,Cristãos de esquerda,Doacoes financeiras a outros candidatos/comites financeiros/partidos,2617541.0,7303930.03,0.35837432577376427
2014,federal,Cristãos de esquerda,Publicidade por materiais impressos,597947.8,7303930.03,0.08186658381775325
2014,federal,Cristãos de esquerda,Servicos prestados por terceiros,219548.01,7303930.03,0.030058887352183466
2018,estadual,Cristãos de direita,Atividades de militancia e mobilizacao de rua,2237472.65,12296057.97,0.18196666406900486
2018,estadual,Cristãos de direita,Despesas com pessoal,1287507.72,12296057.97,0.10470898259761538
2018,estadual,Cristãos de direita,Publicidade por adesivos,826178.37,12296057.97,0.06719050707273137
2018,estadual,Cristãos de direita,Publicidade por materiais impressos,3354839.11,12296057.97,0.2728385892604896
2018,estadual,Cristãos de direita,Servicos prestados por terceiros,1589061.05,12296057.97,0.12923337331988846
2018,estadual,Cristãos de esquerda,Atividades de militancia e mobilizacao de rua,266153.93,3555226.15,0.07486272849337587
2018,estadual,Cristãos de esquerda,Despesas com pessoal,970509.33,3555226.15,0.27298103947620883
2018,estadual,Cristãos de esquerda,Publicidade por adesivos,405847.82,3555226.15,0.11415527532615612
2018,estadual,Cristãos de esquerda,Publicidade por materiais impressos,947076.03,3555226.15,0.2663898132049912
2018,estadual,Cristãos de esquerda,Servicos prestados por terceiros,230902.25,3555226.15,0.06494727487307664
2018,federal,Cristãos de direita,Despesas com pessoal,2940681.45,21752771.61,0.13518651796298614
2018,federal,Cristãos de direita,Doacoes financeiras a outros candidatos/partidos,2091626.5,21752771.61,0.09615448263330523
2018,federal,Cristãos de direita,Publicidade por adesivos,2137268.65,21752771.61,0.09825270491128923
2018,federal,Cristãos de direita,Publicidade por materiais impressos,5213805.97,21752771.61,0.2396846739108479
2018,federal,Cristãos de direita,Servicos prestados por terceiros,2120462.53,21752771.61,0.09748010819114189
2018,federal,Cristãos de esquerda,Despesas com pessoal,212422.02,4660691.99,0.04557735642170166
2018,federal,Cristãos de esquerda,Doacoes financeiras a outros candidatos/partidos,972285.3,4660691.99,0.2086139358889494
2018,federal,Cristãos de esquerda,Publicidade por adesivos,91537.20999999999,4660691.99,0.019640261617030818
2018,federal,Cristãos de esquerda,Publicidade por materiais impressos,1424780.65,4660691.99,0.30570152523638444
2018,federal,Cristãos de esquerda,Servicos prestados por terceiros,824734.55,4660691.99,0.17695538597477667
2020,municipal,Cristãos de direita,Atividades de militancia e mobilizacao de rua,3239910.2,21466444.7,0.1509290544046169
2020,municipal,Cristãos de direita,Despesas com pessoal,3207950.07,21466444.7,0.14944021307822808
2020,municipal,Cristãos de direita,Publicidade por adesivos,1640173.24,21466444.7,0.07640637576095682
2020,municipal,Cristãos de direita,Publicidade por materiais impressos,5169494.89,21466444.7,0.24081746941541743
2020,municipal,Cristãos de direita,Servicos prestados por terceiros,1532173.31,21466444.7,0.07137527109927058
2020,municipal,Cristãos de esquerda,Atividades de militancia e mobilizacao de rua,846689.75,6027319.43,0.14047534062750014
2020,municipal,Cristãos de esquerda,Despesas com pessoal,996081.84,6027319.43,0.16526116652158254
2020,municipal,Cristãos de esquerda,Publicidade por adesivos,429125.06,6027319.43,0.07119666793568298
2020,municipal,Cristãos de esquerda,Publicidade por materiais impressos,1567815.54,6027319.43,0.260118209795959
2020,municipal,Cristãos de esquerda,Servicos prestados por terceiros,473913.48,6027319.43,0.0786275699345173
2022,estadual,Cristãos de direita,Atividades de militancia e mobilizacao de rua,2943302.86,24442138.7,0.12041920292351503
2022,estadual,Cristãos de direita,Despesas com pessoal,3472472.94,24442138.7,0.14206911197995944
2022,estadual,Cristãos de direita,Publicidade por adesivos,1324537.0,24442138.7,0.05419071613401818
2022,estadual,Cristãos de direita,Publicidade por materiais impressos,6958373.43,24442138.7,0.28468758464250105
2022,estadual,Cristãos de direita,Servicos prestados por terceiros,2430653.3,24442138.7,0.0994451970768008
