grupo,tipo_despesa,valor_despesa,total_grupo,proporcao
Cristãos de direita,Atividades de militancia e mobilizacao de rua,30133942.38,242628969.82999998,0.1241976273530469
Cristãos de direita,Baixa de Estimaveis - Publicidade por materiais impressos,18695150.91,242628969.82999998,0.07705242668713021
Cristãos de direita,Despesas com pessoal,31429676.19,242628969.82999998,0.12953801935532047
Cristãos de direita,Publicidade por materiais impressos,56432899.73,242628969.82999998,0.23258928960354644
Cristãos de direita,Servicos prestados por terceiros,19928711.47,242628969.82999998,0.08213657043494525
Cristãos de esquerda,Atividades de militancia e mobilizacao de rua,5920812.07,66735778.27,0.08872020711357473
Cristãos de esquerda,Baixa de Estimaveis - Publicidade por materiais impressos,2162748.53,66735778.27,0.032407631799091924
Cristãos de esquerda,Despesas com pessoal,8553211.56,66735778.27,0.1281653077513439
Cristãos de esquerda,Publicidade por materiais impressos,16068578.17,66735778.27,0.24077906314345585
Cristãos de esquerda,Servicos prestados por terceiros,5759414.8,66735778.27,0.08630175520990443
