ESFERA,grupo,tipo_despesa,valor_despesa,total_grupo,proporcao
estadual,Cristãos derrotados,Atividades de militancia e mobilizacao de rua,6264866.11,53482729.54,0.11713811475000496
estadual,Cristãos derrotados,Despesas com pessoal,8761029.16,53482729.54,0.16381043442159365
estadual,Cristãos derrotados,Publicidade por adesivos,2405574.74,53482729.54,0.04497853345725107
estadual,Cristãos derrotados,Publicidade por materiais impressos,12553473.29,53482729.54,0.23472013111468432
estadual,Cristãos derrotados,Servicos prestados por terceiros,5495050.16,53482729.54,0.102744385098936
estadual,Cristãos eleitos,Atividades de militancia e mobilizacao de rua,1437706.46,19907051.54,0.0722209643708995
estadual,Cristãos eleitos,Despesas com pessoal,1322027.15,19907051.54,0.06640999282809915
estadual,Cristãos eleitos,Publicidade por adesivos,976922.8,19907051.54,0.04907420860578131
estadual,Cristãos eleitos,Publicidade por materiais impressos,5923346.65,19907051.54,0.29755017402240574
estadual,Cristãos eleitos,Servicos prestados por terceiros,2034957.28,19907051.54,0.10222293722960844
federal,Cristãos derrotados,Atividades de militancia e mobilizacao de rua,9757246.34,87686778.18,0.1112738606950606
federal,Cristãos derrotados,Despesas com pessoal,14889457.21,87686778.18,0.169802762959719
federal,Cristãos derrotados,Publicidade por adesivos,4141763.86,87686778.18,0.047233618864385096
federal,Cristãos derrotados,Publicidade por materiais impressos,20821500.169999998,87686778.18,0.23745313264057247
federal,Cristãos derrotados,Servicos prestados por terceiros,9107443.15,87686778.18,0.10386335704231937
federal,Cristãos eleitos,Atividades de militancia e mobilizacao de rua,2318516.0700000003,37511295.03,0.061808478436848044
federal,Cristãos eleitos,Despesas com pessoal,3512163.02,37511295.03,0.09362947925927685
federal,Cristãos eleitos,Publicidade por adesivos,3590647.2600000002,37511295.03,0.09572176212866944
federal,Cristãos eleitos,Publicidade por materiais impressos,9425040.17,37511295.03,0.2512587252042948
federal,Cristãos eleitos,Servicos prestados por terceiros,3300925.42,37511295.03,0.08799817274663684
municipal,Cristãos derrotados,Atividades de militancia e mobilizacao de rua,16010836.28,121708451.81,0.13155073490701072
municipal,Cristãos derrotados,Baixa de Estimaveis - Publicidade por materiais impressos,19193009.48,121708451.81,0.157696603601222
municipal,Cristãos derrotados,Despesas com pessoal,14332828.47,121708451.81,0.11776362493194055
municipal,Cristãos derrotados,Publicidade por materiais impressos,25151732.65,121708451.81,0.20665559602437933
municipal,Cristãos derrotados,Servicos prestados por terceiros,7220515.81,121708451.81,0.05932633028043116
municipal,Cristãos eleitos,Atividades de militancia e mobilizacao de rua,5380541.53,32569120.11,0.16520377313932907
municipal,Cristãos eleitos,Baixa de Estimaveis - Publicidade por materiais impressos,657767.72,32569120.11,0.02019605435389209
municipal,Cristãos eleitos,Despesas com pessoal,2304930.36,32569120.11,0.07077042155929462
municipal,Cristãos eleitos,Publicidade por materiais impressos,9018780.12,32569120.11,0.2769119979151933
municipal,Cristãos eleitos,Servicos prestados por terceiros,1495611.1199999999,32569120.11,0.04592113986956585
