grupo,tipo_despesa,valor_despesa,total_grupo,proporcao
Cristãos derrotados,Atividades de militancia e mobilizacao de rua,32032948.73,262877959.53,0.12185482870938198
Cristãos derrotados,Baixa de Estimaveis - Publicidade por materiais impressos,20262673.98,262877959.53,0.07708015543116538
Cristãos derrotados,Despesas com pessoal,37983314.839999996,262877959.53,0.1444902984940633
Cristãos derrotados,Publicidade por materiais impressos,58526706.11,262877959.53,0.22263831556909527
Cristãos derrotados,Servicos prestados por terceiros,21823009.12,262877959.53,0.08301574296687862
Cristãos eleitos,Atividades de militancia e mobilizacao de rua,9136764.06,89987466.68,0.10153374016506984
Cristãos eleitos,Baixa de Estimaveis - Publicidade por materiais impressos,1824170.3,89987466.68,0.020271381863508194
Cristãos eleitos,Despesas com pessoal,7139120.53,89987466.68,0.07933460951164538
Cristãos eleitos,Publicidade por materiais impressos,24367166.94,89987466.68,0.27078400847365647
Cristãos eleitos,Servicos prestados por terceiros,6831493.82,89987466.68,0.07591605889176921
