ANO_ELEICAO_ANALISE,ESFERA,grupo,tipo_receita,valor_receita,total_grupo,proporcao
2012,municipal,Cristãos de direita,Comercializacao de bens e/ou realizacao de eventos,200.0,32073363.75,6.235703918021383e-06
2012,municipal,Cristãos de direita,Recursos de outros candidatos/comites,22040251.57,32073363.75,0.6871824153461297
2012,municipal,Cristãos de direita,Recursos de partido politico,1817819.46,32073363.75,0.05667691964488757
2012,municipal,Cristãos de direita,Recursos de pessoas juridicas,2158066.2600000002,32073363.75,0.06728531116415877
2012,municipal,Cristãos de direita,Recursos proprios,6057026.46,32073363.75,0.18884911814090594
2012,municipal,Cristãos de esquerda,Recursos de outros candidatos/comites,3106219.86,9122355.07,0.3405063534761095
2012,municipal,Cristãos de esquerda,Recursos de partido politico,1419922.02,9122355.07,0.15565300945910232
2012,municipal,Cristãos de esquerda,Recursos de pessoas juridicas,1292669.01,9122355.07,0.14170343075672454
2012,municipal,Cristãos de esquerda,Recursos proprios,3303544.18,9122355.07,0.3621372063080636
2014,estadual,Cristãos de direita,Recursos de outros candidatos/comites,2241698.33,10162825.53,0.22057825585833907
2014,estadual,Cristãos de direita,Recursos de partido politico,1951138.19,10162825.53,0.19198776799231346
2014,estadual,Cristãos de direita,Recursos de pessoas fisicas,2933117.25,10162825.53,0.28861237864820455
2014,estadual,Cristãos de direita,Recursos de pessoas juridicas,1295364.45,10162825.53,0.12746105363869215
2014,estadual,Cristãos de direita,Recursos proprios,1736507.31,10162825.53,0.1708685547020308
2014,estadual,Cristãos de esquerda,Recursos de outros candidatos/comites,1107665.11,4425700.52,0.2502801771141985
2014,estadual,Cristãos de esquerda,Recursos de partido politico,809523.58,4425700.52,0.18291422484230813
2014,estadual,Cristãos de esquerda,Recursos de pessoas fisicas,1282942.56,4425700.52,0.28988463051268554
2014,estadual,Cristãos de esquerda,Recursos de pessoas juridicas,550085.54,4425700.52,0.12429343953892301
2014,estadual,Cristãos de esquerda,Recursos proprios,675483.73,4425700.52,0.152627527991885
2014,federal,Cristãos de direita,Recursos de outros candidatos/comites,1761591.6400000001,8811989.71,0.19990849943922595
2014,federal,Cristãos de direita,Recursos de partido politico,4413514.5200000005,8811989.71,0.5008533447322875
2014,federal,Cristãos de direita,Recursos de pessoas fisicas,1016679.7,8811989.71,0.11537459001413199
2014,federal,Cristãos de direita,Recursos de pessoas juridicas,1010093.39,8811989.71,0.11462716403920993
2014,federal,Cristãos de direita,Recursos proprios,608652.56,8811989.71,0.06907095673401552
2014,federal,Cristãos de esquerda,Recursos de outros candidatos/comites,292089.16,7293108.98,0.040050019929909225
2014,federal,Cristãos de esquerda,Recursos de partido politico,4341422.390000001,7293108.98,0.595277323005257
2014,federal,Cristãos de esquerda,Recursos de pessoas fisicas,793038.7,7293108.98,0.10873808442665009
2014,federal,Cristãos de esquerda,Recursos de pessoas juridicas,1219097.2,7293108.98,0.1671574089106783
2014,federal,Cristãos de esquerda,Recursos proprios,647097.89,7293108.98,0.08872730296154165
2018,estadual,Cristãos de direita,Recursos de Financiamento Coletivo,3884.8,13602093.27,0.0002856030996764368
2018,estadual,Cristãos de direita,Recursos de outros candidatos,1757764.8800000001,13602093.27,0.12922752734513487
2018,estadual,Cristãos de direita,Recursos de partido politico,9199572.3,13602093.27,0.6763350403051605
