ESFERA,grupo,tipo_receita,valor_receita,total_grupo,proporcao
estadual,Cristãos de direita,Recursos de outros candidatos,4350878.44,51556204.44,0.08439097655188056
estadual,Cristãos de direita,Recursos de outros candidatos/comites,2241698.33,51556204.44,0.043480670354793874
estadual,Cristãos de direita,Recursos de partido politico,33001550.46,51556204.44,0.6401082239947763
estadual,Cristãos de direita,Recursos de pessoas fisicas,6680046.87,51556204.44,0.12956824387206578
estadual,Cristãos de direita,Recursos proprios,3973577.73,51556204.44,0.07707273592307139
estadual,Cristãos de esquerda,Recursos de outros candidatos,1062449.73,17061440.099999998,0.06227198429750371
estadual,Cristãos de esquerda,Recursos de outros candidatos/comites,1107665.11,17061440.099999998,0.0649221345623691
estadual,Cristãos de esquerda,Recursos de partido politico,9141073.37,17061440.099999998,0.5357738453742835
estadual,Cristãos de esquerda,Recursos de pessoas fisicas,3087849.6,17061440.099999998,0.18098411282409863
estadual,Cristãos de esquerda,Recursos proprios,2071576.27,17061440.099999998,0.12141860580690374
federal,Cristãos de direita,Recursos de outros candidatos/comites,1761591.6400000001,90758352.16,0.01940969175921627
federal,Cristãos de direita,Recursos de partido politico,81552427.05,90758352.16,0.8985666344649949
federal,Cristãos de direita,Recursos de pessoas fisicas,3756353.58,90758352.16,0.041388516765683864
federal,Cristãos de direita,Recursos de pessoas juridicas,1010093.39,90758352.16,0.011129481375105655
federal,Cristãos de direita,Recursos proprios,1463644.3499999999,90758352.16,0.016126828166951594
federal,Cristãos de esquerda,Recursos de outros candidatos/comites,292089.16,28409320.62,0.010281455297961995
federal,Cristãos de esquerda,Recursos de partido politico,22526300.48,28409320.62,0.7929193654895644
federal,Cristãos de esquerda,Recursos de pessoas fisicas,2152381.05,28409320.62,0.07576320035209627
federal,Cristãos de esquerda,Recursos de pessoas juridicas,1219097.2,28409320.62,0.04291187446213558
federal,Cristãos de esquerda,Recursos proprios,1711785.8699999999,28409320.62,0.06025437541772514
municipal,Cristãos de direita,Recursos de outros candidatos,9728175.79,132067391.44000001,0.07366069461907741
municipal,Cristãos de direita,Recursos de outros candidatos/comites,22040251.57,132067391.44000001,0.1668864004178744
municipal,Cristãos de direita,Recursos de partido politico,63776330.45,132067391.44000001,0.4829074743932869
municipal,Cristãos de direita,Recursos de pessoas fisicas,19470316.29,132067391.44000001,0.14742712851147383
municipal,Cristãos de direita,Recursos proprios,14771244.8,132067391.44000001,0.11184626756795432
municipal,Cristãos de esquerda,Recursos de outros candidatos,2613748.25,35072235.839999996,0.07452471128227907
municipal,Cristãos de esquerda,Recursos de outros candidatos/comites,3106219.86,35072235.839999996,0.08856634844070438
municipal,Cristãos de esquerda,Recursos de partido politico,15833754.16,35072235.839999996,0.45146121371428377
municipal,Cristãos de esquerda,Recursos de pessoas fisicas,5649935.46,35072235.839999996,0.16109424804780284
municipal,Cristãos de esquerda,Recursos proprios,6425362.28,35072235.839999996,0.18320366883116856
