grupo,tipo_receita,valor_receita,total_grupo,proporcao
Cristãos de direita,Recursos de outros candidatos,15258610.15,274381948.04,0.05561083831861842
Cristãos de direita,Recursos de outros candidatos/comites,26043541.54,274381948.04,0.09491710998495904
Cristãos de direita,Recursos de partido politico,178330307.96,274381948.04,0.6499345501184451
Cristãos de direita,Recursos de pessoas fisicas,29906716.74,274381948.04,0.10899666305904399
Cristãos de direita,Recursos proprios,20208466.88,274381948.04,0.07365086159769506
Cristãos de esquerda,Recursos de outros candidatos,4140314.32,80542996.56,0.05140501963961198
Cristãos de esquerda,Recursos de outros candidatos/comites,4505974.13,80542996.56,0.05594495266442319
Cristãos de esquerda,Recursos de partido politico,47501128.01,80542996.56,0.5897611218700354
Cristãos de esquerda,Recursos de pessoas fisicas,10890166.11,80542996.56,0.1352093487344668
Cristãos de esquerda,Recursos proprios,10208724.42,80542996.56,0.1267487535355737
