ANO_ELEICAO_ANALISE,grupo,tipo_receita,valor_receita,total_grupo,proporcao
2012,Cristãos derrotados,Recursos de doacoes pela Internet,480.0,38549197.2,1.2451621171503928e-05
2012,Cristãos derrotados,Recursos de outros candidatos/comites,24920371.98,38549197.2,0.6464563153081694
2012,Cristãos derrotados,Recursos de partido politico,2538093.41,38549197.2,0.06584037008168876
2012,Cristãos derrotados,Recursos de pessoas juridicas,2698407.94,38549197.2,0.06999906965637147
2012,Cristãos derrotados,Recursos proprios,8391643.87,38549197.2,0.21768660515711072
2012,Cristãos eleitos,Recursos de outros candidatos/comites,2388654.58,8653396.86,0.2760366384028295
2012,Cristãos eleitos,Recursos de partido politico,1032837.25,8653396.86,0.11935627900925834
2012,Cristãos eleitos,Recursos de pessoas juridicas,1332300.4,8653396.86,0.15396270638626414
2012,Cristãos eleitos,Recursos proprios,3899604.63,8653396.86,0.45064437620164804
2014,Cristãos derrotados,Recursos de outros candidatos/comites,4237472.52,20443722.5,0.20727499700702745
2014,Cristãos derrotados,Recursos de partido politico,5521589.31,20443722.5,0.2700872754460446
2014,Cristãos derrotados,Recursos de pessoas fisicas,4720345.87,20443722.5,0.2308946362385813
2014,Cristãos derrotados,Recursos de pessoas juridicas,2282017.7,20443722.5,0.11162437271392234
2014,Cristãos derrotados,Recursos proprios,3675839.2,20443722.5,0.179802831896197
2014,Cristãos eleitos,Recursos de outros candidatos/comites,2203768.06,15840099.13,0.13912590078595044
2014,Cristãos eleitos,Recursos de partido politico,6651237.71,15840099.13,0.4198987427675271
2014,Cristãos eleitos,Recursos de pessoas fisicas,2818146.95,15840099.13,0.17791220413909115
2014,Cristãos eleitos,Recursos de pessoas juridicas,2325338.94,15840099.13,0.14680078204788355
2014,Cristãos eleitos,Recursos proprios,1841243.83,15840099.13,0.11623941333250987
2018,Cristãos derrotados,Recursos de Financiamento Coletivo,23904.13,33667779.37,0.000710000197438029
2018,Cristãos derrotados,Recursos de outros candidatos,3066731.19,33667779.37,0.09108801493253935
2018,Cristãos derrotados,Recursos de partido politico,23995844.05,33667779.37,0.7127242871082176
2018,Cristãos derrotados,Recursos de pessoas fisicas,3743315.82,33667779.37,0.111183923919126
2018,Cristãos derrotados,Recursos proprios,2836128.77,33667779.37,0.0842386644759577
2018,Cristãos eleitos,Recursos de Financiamento Coletivo,20885.31,19466098.89,0.0010729068067525881
2018,Cristãos eleitos,Recursos de outros candidatos,1043954.6900000001,19466098.89,0.053629373604810654
2018,Cristãos eleitos,Recursos de partido politico,14835583.99,19466098.89,0.7621241458719415
2018,Cristãos eleitos,Recursos de pessoas fisicas,1608174.62,19466098.89,0.082614119505277
2018,Cristãos eleitos,Recursos proprios,1957500.28,19466098.89,0.10055945421121817
2020,Cristãos derrotados,Recursos de Financiamento Coletivo,88495.83,39734010.050000004,0.0022272061110529665
2020,Cristãos derrotados,Recursos de outros candidatos,5033290.29,39734010.050000004,0.12667461159007784
2020,Cristãos derrotados,Recursos de partido politico,18371569.77,39734010.050000004,0.4623638476680759
2020,Cristãos derrotados,Recursos de pessoas fisicas,10375198.96,39734010.050000004,0.26111633200233714
2020,Cristãos derrotados,Recursos proprios,5850542.55,39734010.050000004,0.1472426906480837
2020,Cristãos eleitos,Recursos de Financiamento Coletivo,54312.0,8256659.1,0.006577963234548463
2020,Cristãos eleitos,Recursos de outros candidatos,492707.41,8256659.1,0.05967394366566497
2020,Cristãos eleitos,Recursos de partido politico,2015981.41,8256659.1,0.24416430248403984
2020,Cristãos eleitos,Recursos de pessoas fisicas,4068040.16,8256659.1,0.4926980889885596
2020,Cristãos eleitos,Recursos proprios,1624939.4,8256659.1,0.19680349888734053
2022,Cristãos derrotados,Recursos de Financiamento Coletivo,61194.0,99600520.92,0.0006143943770048307
2022,Cristãos derrotados,Recursos de outros candidatos,3532001.0,99600520.92,0.03546167196090203
2022,Cristãos derrotados,Recursos de partido politico,88971658.39,99600520.92,0.8932850708829405
2022,Cristãos derrotados,Recursos de pessoas fisicas,5412743.14,99600520.92,0.0543445264141496
2022,Cristãos derrotados,Recursos proprios,1611969.58,99600520.92,0.01618434888804194
2022,Cristãos eleitos,Recursos de Financiamento Coletivo,10785.130000000001,24006526.08,0.0004492582543621406
2022,Cristãos eleitos,Recursos de outros candidatos,352000.46,24006526.08,0.014662698752288613
2022,Cristãos eleitos,Recursos de partido politico,19989361.66,24006526.08,0.8326636512666143
2022,Cristãos eleitos,Recursos de pessoas fisicas,3102261.73,24006526.08,0.1292257663462818
2022,Cristãos eleitos,Recursos proprios,552117.1,24006526.08,0.022998625380453216
2024,Cristãos derrotados,Recursos de Financiamento Coletivo,26663.29,76801968.31,0.0003471693575922104
2024,Cristãos derrotados,Recursos de outros candidatos,7942003.47,76801968.31,0.10340885324635503
2024,Cristãos derrotados,Recursos de partido politico,51541891.41,76801968.31,0.6711011780578152
2024,Cristãos derrotados,Recursos de pessoas fisicas,11625193.28,76801968.31,0.15136582480642413
2024,Cristãos derrotados,Recursos proprios,5613976.22,76801968.31,0.07309677529799756
2024,Cristãos eleitos,Recursos de Financiamento Coletivo,41992.41,21737585.25,0.0019317881686053424
2024,Cristãos eleitos,Recursos de outros candidatos,1178326.23,21737585.25,0.054206859522264554
2024,Cristãos eleitos,Recursos de partido politico,14072887.63,21737585.25,0.647398847118955
2024,Cristãos eleitos,Recursos de pessoas fisicas,4762680.92,21737585.25,0.2190988955408467
2024,Cristãos eleitos,Recursos proprios,1676675.36,21737585.25,0.07713254902588594
