ANO_ELEICAO_ANALISE,ESFERA,grupo,tipo_receita,valor_receita,total_grupo,proporcao
2012,municipal,Cristãos derrotados,Recursos de doacoes pela Internet,480.0,38549197.2,1.2451621171503928e-05
2012,municipal,Cristãos derrotados,Recursos de outros candidatos/comites,24920371.98,38549197.2,0.6464563153081694
2012,municipal,Cristãos derrotados,Recursos de partido politico,2538093.41,38549197.2,0.06584037008168876
2012,municipal,Cristãos derrotados,Recursos de pessoas juridicas,2698407.94,38549197.2,0.06999906965637147
2012,municipal,Cristãos derrotados,Recursos proprios,8391643.87,38549197.2,0.21768660515711072
2012,municipal,Cristãos eleitos,Recursos de outros candidatos/comites,2388654.58,8653396.86,0.2760366384028295
2012,municipal,Cristãos eleitos,Recursos de partido politico,1032837.25,8653396.86,0.11935627900925834
2012,municipal,Cristãos eleitos,Recursos de pessoas juridicas,1332300.4,8653396.86,0.15396270638626414
2012,municipal,Cristãos eleitos,Recursos proprios,3899604.63,8653396.86,0.45064437620164804
2014,estadual,Cristãos derrotados,Recursos de outros candidatos/comites,2876153.93,11735668.81,0.2450779735322132
2014,estadual,Cristãos derrotados,Recursos de partido politico,2326678.28,11735668.81,0.19825698199811415
2014,estadual,Cristãos derrotados,Recursos de pessoas fisicas,3070901.12,11735668.81,0.2616724423394835
2014,estadual,Cristãos derrotados,Recursos de pessoas juridicas,1032088.7,11735668.81,0.08794460006578866
2014,estadual,Cristãos derrotados,Recursos proprios,2424846.7800000003,11735668.81,0.20662195050475357
2014,estadual,Cristãos eleitos,Recursos de outros candidatos/comites,1325419.44,7367615.399999999,0.1798980223641967
2014,estadual,Cristãos eleitos,Recursos de partido politico,936880.7,7367615.399999999,0.1271619987112791
2014,estadual,Cristãos eleitos,Recursos de pessoas fisicas,2339075.3,7367615.399999999,0.3174806464517678
2014,estadual,Cristãos eleitos,Recursos de pessoas juridicas,1211882.94,7367615.399999999,0.16448781243385752
2014,estadual,Cristãos eleitos,Recursos proprios,1554357.02,7367615.399999999,0.2109715200388989
2014,federal,Cristãos derrotados,Recursos de outros candidatos/comites,1361318.59,8708053.69,0.15632868588801732
2014,federal,Cristãos derrotados,Recursos de partido politico,3194911.0300000003,8708053.69,0.36689151717896684
2014,federal,Cristãos derrotados,Recursos de pessoas fisicas,1649444.75,8708053.69,0.18941600600076228
2014,federal,Cristãos derrotados,Recursos de pessoas juridicas,1249929.0,8708053.69,0.14353712603257962
2014,federal,Cristãos derrotados,Recursos proprios,1250992.42,8708053.69,0.14365924516939904
2014,federal,Cristãos eleitos,Recursos de outros candidatos/comites,878348.62,8472483.73,0.10367073552350155
2014,federal,Cristãos eleitos,Recursos de partido politico,5714357.01,8472483.73,0.6744606649129558
2014,federal,Cristãos eleitos,Recursos de pessoas fisicas,479071.65,8472483.73,0.05654441663944039
2014,federal,Cristãos eleitos,Recursos de pessoas juridicas,1113456.0,8472483.73,0.13142025827177362
2014,federal,Cristãos eleitos,Recursos proprios,286886.81,8472483.73,0.03386100453449912
2018,estadual,Cristãos derrotados,Recursos de Financiamento Coletivo,6581.25,15880137.61,0.0004144328066688586
2018,estadual,Cristãos derrotados,Recursos de outros candidatos,2266713.78,15880137.61,0.14273892554763573
2018,estadual,Cristãos derrotados,Recursos de partido politico,9830158.69,15880137.61,0.6190222611049527
2018,estadual,Cristãos derrotados,Recursos de pessoas fisicas,2241978.64,15880137.61,0.1411813105818546
2018,estadual,Cristãos derrotados,Recursos proprios,1534161.93,15880137.61,0.09660885614957841
2018,estadual,Cristãos eleitos,Recursos de Financiamento Coletivo,12026.39,6211767.9,0.0019360655764359771
2018,estadual,Cristãos eleitos,Recursos de outros candidatos,701774.72,6211767.9,0.11297503887741844
2018,estadual,Cristãos eleitos,Recursos de partido politico,2863469.5700000003,6211767.9,0.4609749778319953
2018,estadual,Cristãos eleitos,Recursos de pessoas fisicas,1067900.32,6211767.9,0.17191568281229566
2018,estadual,Cristãos eleitos,Recursos proprios,1566596.9,6211767.9,0.25219823490185456
2018,federal,Cristãos derrotados,Recursos de Financiamento Coletivo,17322.88,17787641.76,0.0009738716482898181
2018,federal,Cristãos derrotados,Recursos de outros candidatos,800017.41,17787641.76,0.04497602441033195
2018,federal,Cristãos derrotados,Recursos de partido politico,14165685.36,17787641.76,0.7963779320008072
2018,federal,Cristãos derrotados,Recursos de pessoas fisicas,1501337.18,17787641.76,0.08440338524110234
2018,federal,Cristãos derrotados,Recursos proprios,1301966.84,17787641.76,0.07319502256492487
2018,federal,Cristãos eleitos,Recursos de Financiamento Coletivo,8858.92,13254330.99,0.0006683792646104728
2018,federal,Cristãos eleitos,Recursos de outros candidatos,342179.97,13254330.99,0.02581646484142916
2018,federal,Cristãos eleitos,Recursos de partido politico,11972114.42,13254330.99,0.9032605590604765
2018,federal,Cristãos eleitos,Recursos de pessoas fisicas,540274.3,13254330.99,0.04076209507727104
2018,federal,Cristãos eleitos,Recursos proprios,390903.38,13254330.99,0.029492501756212743
2020,municipal,Cristãos derrotados,Recursos de Financiamento Coletivo,88495.83,39734010.050000004,0.0022272061110529665
2020,municipal,Cristãos derrotados,Recursos de outros candidatos,5033290.29,39734010.050000004,0.12667461159007784
2020,municipal,Cristãos derrotados,Recursos de partido politico,18371569.77,39734010.050000004,0.4623638476680759
2020,municipal,Cristãos derrotados,Recursos de pessoas fisicas,10375198.96,39734010.050000004,0.26111633200233714
2020,municipal,Cristãos derrotados,Recursos proprios,5850542.55,39734010.050000004,0.1472426906480837
2020,municipal,Cristãos eleitos,Recursos de Financiamento Coletivo,54312.0,8256659.1,0.006577963234548463
2020,municipal,Cristãos eleitos,Recursos de outros candidatos,492707.41,8256659.1,0.05967394366566497
2020,municipal,Cristãos eleitos,Recursos de partido politico,2015981.41,8256659.1,0.24416430248403984
2020,municipal,Cristãos eleitos,Recursos de pessoas fisicas,4068040.16,8256659.1,0.4926980889885596
2020,municipal,Cristãos eleitos,Recursos proprios,1624939.4,8256659.1,0.19680349888734053
2022,estadual,Cristãos derrotados,Recursos de Financiamento Coletivo,26704.0,32958634.61,0.0008102277389821763
2022,estadual,Cristãos derrotados,Recursos de outros candidatos,2911143.1,32958634.61,0.08832717539569217
2022,estadual,Cristãos derrotados,Recursos de partido politico,25843726.49,32958634.61,0.7841261264554551
2022,estadual,Cristãos derrotados,Recursos de pessoas fisicas,2963199.29,32958634.61,0.08990661552165556
2022,estadual,Cristãos derrotados,Recursos proprios,1210390.74,32958634.61,0.03672454136291054
2022,estadual,Cristãos eleitos,Recursos de Financiamento Coletivo,2528.13,7230330.38,0.000349656221380025
2022,estadual,Cristãos eleitos,Recursos de outros candidatos,317800.46,7230330.38,0.04395379509615161
2022,estadual,Cristãos eleitos,Recursos de partido politico,5347454.2,7230330.38,0.7395864253716163
