ESFERA,grupo,tipo_receita,valor_receita,total_grupo,proporcao
estadual,Cristãos derrotados,Recursos de outros candidatos,5177856.88,60574441.03,0.08547923500335104
estadual,Cristãos derrotados,Recursos de outros candidatos/comites,2876153.93,60574441.03,0.047481311937745505
estadual,Cristãos derrotados,Recursos de partido politico,38000563.46,60574441.03,0.6273365930224581
estadual,Cristãos derrotados,Recursos de pessoas fisicas,8276079.05,60574441.03,0.1366265855577801
estadual,Cristãos derrotados,Recursos proprios,5169399.45,60574441.03,0.08533961456515647
estadual,Cristãos eleitos,Recursos de outros candidatos,1019575.1799999999,20809713.68,0.048995156573437296
estadual,Cristãos eleitos,Recursos de outros candidatos/comites,1325419.44,20809713.68,0.06369234389197036
estadual,Cristãos eleitos,Recursos de partido politico,9147804.47,20809713.68,0.439593000205085
estadual,Cristãos eleitos,Recursos de pessoas fisicas,4479135.2,20809713.68,0.2152425193771335
estadual,Cristãos eleitos,Recursos proprios,3611341.93,20809713.68,0.17354116378212467
federal,Cristãos derrotados,Recursos de outros candidatos/comites,1361318.59,93137581.76000002,0.014616211461318489
federal,Cristãos derrotados,Recursos de partido politico,80488528.29,93137581.76000002,0.8641895867277882
federal,Cristãos derrotados,Recursos de pessoas fisicas,5600325.78,93137581.76000002,0.060129602617674825
federal,Cristãos derrotados,Recursos de pessoas juridicas,1249929.0,93137581.76000002,0.013420243218477136
federal,Cristãos derrotados,Recursos proprios,2954538.1,93137581.76000002,0.03172229774671787
federal,Cristãos eleitos,Recursos de outros candidatos/comites,878348.62,38503010.42,0.022812466101189602
federal,Cristãos eleitos,Recursos de partido politico,32328378.89,38503010.42,0.8396324998319443
federal,Cristãos eleitos,Recursos de pessoas fisicas,3049448.1,38503010.42,0.0792002512721965
federal,Cristãos eleitos,Recursos de pessoas juridicas,1113456.0,38503010.42,0.0289186738349588
federal,Cristãos eleitos,Recursos proprios,739519.28,38503010.42,0.01920679115563037
municipal,Cristãos derrotados,Recursos de outros candidatos,12975293.76,155085175.56,0.08366559674802743
municipal,Cristãos derrotados,Recursos de outros candidatos/comites,24920371.98,155085175.56,0.16068829203058613
municipal,Cristãos derrotados,Recursos de partido politico,72451554.59,155085175.56,0.4671726638499348
municipal,Cristãos derrotados,Recursos de pessoas fisicas,22000392.24,155085175.56,0.14186005954829894
municipal,Cristãos derrotados,Recursos proprios,19856162.64,155085175.56,0.12803391793123364
municipal,Cristãos eleitos,Recursos de outros candidatos,1671033.64,38647641.21,0.04323766179985192
municipal,Cristãos eleitos,Recursos de outros candidatos/comites,2388654.58,38647641.21,0.0618059603436274
municipal,Cristãos eleitos,Recursos de partido politico,17121706.29,38647641.21,0.443020731769001
municipal,Cristãos eleitos,Recursos de pessoas fisicas,8830721.08,38647641.21,0.2284931448213473
municipal,Cristãos eleitos,Recursos proprios,7201219.39,38647641.21,0.18633011393556143
