grupo,tipo_receita,valor_receita,total_grupo,proporcao
Cristãos derrotados,Recursos de outros candidatos,19574025.95,308797198.35,0.06338796483449377
Cristãos derrotados,Recursos de outros candidatos/comites,29157844.5,308797198.35,0.0944239282474047
Cristãos derrotados,Recursos de partido politico,190940646.34,308797198.35,0.618336718598017
Cristãos derrotados,Recursos de pessoas fisicas,35876797.07,308797198.35,0.11618239174999302
Cristãos derrotados,Recursos proprios,27980100.19,308797198.35,0.09060995481664479
Cristãos eleitos,Recursos de outros candidatos,3066988.79,97960365.31,0.03130846623830337
Cristãos eleitos,Recursos de outros candidatos/comites,4592422.64,97960365.31,0.04688041561979756
Cristãos eleitos,Recursos de partido politico,58597889.65,97960365.31,0.5981795746122865
Cristãos eleitos,Recursos de pessoas fisicas,16359304.38,97960365.31,0.16699921777782517
Cristãos eleitos,Recursos proprios,11552080.6,97960365.31,0.1179260669704826
