ANO_ELEICAO_ANALISE,ESFERA,pleito,grupo,size,total_recorte,proporcao
2012,municipal,Eleição Municipal 2012,Cristãos,12144,450695,0.026945051531523535
2012,municipal,Eleição Municipal 2012,Não cristãos,438551,450695,0.9730549484684765
2014,estadual,Eleições Gerais 2014,Cristãos,575,18031,0.03188952359824746
2014,estadual,Eleições Gerais 2014,Não cristãos,17456,18031,0.9681104764017525
2014,federal,Eleições Gerais 2014,Cristãos,250,7321,0.03414834039065701
2014,federal,Eleições Gerais 2014,Não cristãos,7071,7321,0.9658516596093429
2016,municipal,Eleições Municipais 2016,Cristãos,13871,463438,0.029930648759920422
2016,municipal,Eleições Municipais 2016,Não cristãos,449567,463438,0.9700693512400795
2018,estadual,Eleições Gerais Estaduais 2018,Cristãos,650,18954,0.03429355281207133
2018,estadual,Eleições Gerais Estaduais 2018,Não cristãos,18304,18954,0.9657064471879286
2018,federal,Eleição Suplementar Senador - Mt,Não cristãos,11,11,1.0
2018,federal,Eleições Gerais Estaduais 2018,Cristãos,302,8968,0.03367528991971454
2018,federal,Eleições Gerais Estaduais 2018,Não cristãos,8666,8968,0.9663247100802854
2018,federal,Senador,Não cristãos,13,13,1.0
2020,municipal,Eleição Suplementar - Alto Santo/Ce,Cristãos,1,33,0.030303030303030304
2020,municipal,Eleição Suplementar - Alto Santo/Ce,Não cristãos,32,33,0.9696969696969697
2020,municipal,Eleição Suplementar De Boa Ventura/Pb,Não cristãos,20,20,1.0
2020,municipal,Eleição Suplementar De Boqueirão/Pb,Não cristãos,32,32,1.0
2020,municipal,Eleição Suplementar De Mãe D'Água/Pb,Não cristãos,15,15,1.0
2020,municipal,Eleição Suplementar Monte Horebe,Não cristãos,20,20,1.0
2020,municipal,Eleições Municipais 2020,Cristãos,17326,517956,0.03345071782159102
2020,municipal,Eleições Municipais 2020,Não cristãos,500630,517956,0.966549282178409
2020,municipal,Eleições Municipais 2020 - Ap,Cristãos,22,529,0.04158790170132325
2020,municipal,Eleições Municipais 2020 - Ap,Não cristãos,507,529,0.9584120982986768
2020,municipal,Eleições Suplementares Tacaimbó 2023,Não cristãos,26,26,1.0
2020,municipal,Suplementar De Castelândia - Go,Não cristãos,22,22,1.0
2020,municipal,Suplementar Gilbués-Pi,Não cristãos,20,20,1.0
2020,municipal,Vereador,Cristãos,1,23,0.043478260869565216
2020,municipal,Vereador,Não cristãos,22,23,0.9565217391304348
2022,estadual,Eleições Gerais Estaduais 2022,Cristãos,677,17347,0.03902692108145501
2022,estadual,Eleições Gerais Estaduais 2022,Não cristãos,16670,17347,0.960973078918545
2022,federal,Eleições Gerais Estaduais 2022,Cristãos,406,10873,0.037340200496643064
2022,federal,Eleições Gerais Estaduais 2022,Não cristãos,10467,10873,0.9626597995033569
2024,municipal,Eleição Suplementar Braga - Rs,Não cristãos,2,2,1.0
2024,municipal,Eleição Suplementar De Melgaço,Não cristãos,28,28,1.0
2024,municipal,Eleições Municipais 2024,Cristãos,14264,432002,0.03301836565571456
2024,municipal,Eleições Municipais 2024,Não cristãos,417738,432002,0.9669816343442854
