ANO_ELEICAO_ANALISE,ESFERA,SG_UF,codigo_ibge_municipio,municipio_ibge,grupo_religioso,votos,total_recorte,pct_votos,comparacao
2012,municipal,AC,1200013,Acrelândia,Cristãos,18,6744,0.0026690391459074734,cristaos_vs_nao_cristaos
2012,municipal,AC,1200013,Acrelândia,Não cristãos,6726,6744,0.9973309608540926,cristaos_vs_nao_cristaos
2012,municipal,AC,1200054,Assis Brasil,Não cristãos,3878,3878,1.0,cristaos_vs_nao_cristaos
2012,municipal,AC,1200104,Brasiléia,Cristãos,230,12053,0.019082386127934954,cristaos_vs_nao_cristaos
2012,municipal,AC,1200104,Brasiléia,Não cristãos,11823,12053,0.980917613872065,cristaos_vs_nao_cristaos
2012,municipal,AC,1200138,Bujari,Cristãos,49,5255,0.009324452901998096,cristaos_vs_nao_cristaos
2012,municipal,AC,1200138,Bujari,Não cristãos,5206,5255,0.9906755470980019,cristaos_vs_nao_cristaos
2012,municipal,AC,1200179,Capixaba,Cristãos,34,5364,0.00633855331841909,cristaos_vs_nao_cristaos
2012,municipal,AC,1200179,Capixaba,Não cristãos,5330,5364,0.993661446681581,cristaos_vs_nao_cristaos
2012,municipal,AC,1200203,Cruzeiro Do Sul,Cristãos,774,34460,0.022460824143934997,cristaos_vs_nao_cristaos
2012,municipal,AC,1200203,Cruzeiro Do Sul,Não cristãos,33686,34460,0.977539175856065,cristaos_vs_nao_cristaos
2012,municipal,AC,1200252,Epitaciolândia,Cristãos,50,7261,0.006886103842445944,cristaos_vs_nao_cristaos
2012,municipal,AC,1200252,Epitaciolândia,Não cristãos,7211,7261,0.9931138961575541,cristaos_vs_nao_cristaos
2012,municipal,AC,1200302,Feijó,Não cristãos,11742,11742,1.0,cristaos_vs_nao_cristaos
2012,municipal,AC,1200328,Jordão,Cristãos,143,3071,0.04656463692608271,cristaos_vs_nao_cristaos
2012,municipal,AC,1200328,Jordão,Não cristãos,2928,3071,0.9534353630739173,cristaos_vs_nao_cristaos
2012,municipal,AC,1200336,Mâncio Lima,Cristãos,45,7939,0.005668220178863837,cristaos_vs_nao_cristaos
2012,municipal,AC,1200336,Mâncio Lima,Não cristãos,7894,7939,0.9943317798211362,cristaos_vs_nao_cristaos
2012,municipal,AC,1200344,Manoel Urbano,Cristãos,13,4394,0.0029585798816568047,cristaos_vs_nao_cristaos
2012,municipal,AC,1200344,Manoel Urbano,Não cristãos,4381,4394,0.9970414201183432,cristaos_vs_nao_cristaos
2012,municipal,AC,1200351,Marechal Thaumaturgo,Cristãos,124,6348,0.019533711405166982,cristaos_vs_nao_cristaos
2012,municipal,AC,1200351,Marechal Thaumaturgo,Não cristãos,6224,6348,0.980466288594833,cristaos_vs_nao_cristaos
2012,municipal,AC,1200385,Plácido De Castro,Não cristãos,9661,9661,1.0,cristaos_vs_nao_cristaos
2012,municipal,AC,1200393,Porto Walter,Cristãos,194,4235,0.045808736717827626,cristaos_vs_nao_cristaos
2012,municipal,AC,1200393,Porto Walter,Não cristãos,4041,4235,0.9541912632821724,cristaos_vs_nao_cristaos
2012,municipal,AC,1200401,Rio Branco,Cristãos,3699,161884,0.022849694843221073,cristaos_vs_nao_cristaos
2012,municipal,AC,1200401,Rio Branco,Não cristãos,158185,161884,0.9771503051567789,cristaos_vs_nao_cristaos
2012,municipal,AC,1200427,Rodrigues Alves,Não cristãos,6973,6973,1.0,cristaos_vs_nao_cristaos
2012,municipal,AC,1200435,Santa Rosa Do Purus,Não cristãos,1949,1949,1.0,cristaos_vs_nao_cristaos
2012,municipal,AC,1200450,Senador Guiomard,Cristãos,335,12617,0.02655147816438139,cristaos_vs_nao_cristaos
2012,municipal,AC,1200450,Senador Guiomard,Não cristãos,12282,12617,0.9734485218356186,cristaos_vs_nao_cristaos
2012,municipal,AC,1200500,Sena Madureira,Cristãos,427,18186,0.023479599692070825,cristaos_vs_nao_cristaos
2012,municipal,AC,1200500,Sena Madureira,Não cristãos,17759,18186,0.9765204003079292,cristaos_vs_nao_cristaos
2012,municipal,AC,1200609,Tarauacá,Cristãos,1664,15058,0.11050604329924293,cristaos_vs_nao_cristaos
2012,municipal,AC,1200609,Tarauacá,Não cristãos,13394,15058,0.889493956700757,cristaos_vs_nao_cristaos
2012,municipal,AC,1200708,Xapuri,Cristãos,358,7846,0.04562834565383635,cristaos_vs_nao_cristaos
2012,municipal,AC,1200708,Xapuri,Não cristãos,7488,7846,0.9543716543461637,cristaos_vs_nao_cristaos
2012,municipal,AC,1200807,Porto Acre,Cristãos,501,8823,0.056783407004420264,cristaos_vs_nao_cristaos
2012,municipal,AC,1200807,Porto Acre,Não cristãos,8322,8823,0.9432165929955797,cristaos_vs_nao_cristaos
2012,municipal,AL,2700102,Água Branca,Não cristãos,10047,10047,1.0,cristaos_vs_nao_cristaos
2012,municipal,AL,2700201,Anadia,Não cristãos,8859,8859,1.0,cristaos_vs_nao_cristaos
2012,municipal,AL,2700300,Arapiraca,Cristãos,1023,96308,0.01062217053619637,cristaos_vs_nao_cristaos
2012,municipal,AL,2700300,Arapiraca,Não cristãos,95285,96308,0.9893778294638036,cristaos_vs_nao_cristaos
2012,municipal,AL,2700409,Atalaia,Não cristãos,21512,21512,1.0,cristaos_vs_nao_cristaos
2012,municipal,AL,2700508,Barra De Santo Antônio,Cristãos,41,7713,0.005315700764942305,cristaos_vs_nao_cristaos
2012,municipal,AL,2700508,Barra De Santo Antônio,Não cristãos,7672,7713,0.9946842992350577,cristaos_vs_nao_cristaos
2012,municipal,AL,2700607,Barra De São Miguel,Não cristãos,4520,4520,1.0,cristaos_vs_nao_cristaos
2012,municipal,AL,2700706,Batalha,Cristãos,20,8678,0.00230467849734962,cristaos_vs_nao_cristaos
2012,municipal,AL,2700706,Batalha,Não cristãos,8658,8678,0.9976953215026504,cristaos_vs_nao_cristaos
2012,municipal,AL,2700805,Belém,Não cristãos,3458,3458,1.0,cristaos_vs_nao_cristaos
2012,municipal,AL,2700904,Belo Monte,Não cristãos,3617,3617,1.0,cristaos_vs_nao_cristaos
2012,municipal,AL,2701001,Boca Da Mata,Cristãos,110,14217,0.007737216009003306,cristaos_vs_nao_cristaos
2012,municipal,AL,2701001,Boca Da Mata,Não cristãos,14107,14217,0.9922627839909967,cristaos_vs_nao_cristaos
2012,municipal,AL,2701100,Branquinha,Não cristãos,5466,5466,1.0,cristaos_vs_nao_cristaos
2012,municipal,AL,2701209,Cacimbinhas,Cristãos,215,5756,0.03735232800555942,cristaos_vs_nao_cristaos
2012,municipal,AL,2701209,Cacimbinhas,Não cristãos,5541,5756,0.9626476719944406,cristaos_vs_nao_cristaos
2012,municipal,AL,2701308,Cajueiro,Cristãos,15,9762,0.0015365703749231714,cristaos_vs_nao_cristaos
2012,municipal,AL,2701308,Cajueiro,Não cristãos,9747,9762,0.9984634296250768,cristaos_vs_nao_cristaos
2012,municipal,AL,2701357,Campestre,Não cristãos,3877,3877,1.0,cristaos_vs_nao_cristaos
2012,municipal,AL,2701407,Campo Alegre,Cristãos,130,15255,0.008521796132415601,cristaos_vs_nao_cristaos
2012,municipal,AL,2701407,Campo Alegre,Não cristãos,15125,15255,0.9914782038675845,cristaos_vs_nao_cristaos
2012,municipal,AL,2701506,Campo Grande,Não cristãos,5694,5694,1.0,cristaos_vs_nao_cristaos
2012,municipal,AL,2701605,Canapi,Não cristãos,8985,8985,1.0,cristaos_vs_nao_cristaos
2012,municipal,AL,2701704,Capela,Não cristãos,9219,9219,1.0,cristaos_vs_nao_cristaos
2012,municipal,AL,2701803,Carneiros,Não cristãos,4289,4289,1.0,cristaos_vs_nao_cristaos
2012,municipal,AL,2701902,Chã Preta,Não cristãos,4300,4300,1.0,cristaos_vs_nao_cristaos
2012,municipal,AL,2702009,Coité Do Nóia,Não cristãos,5989,5989,1.0,cristaos_vs_nao_cristaos
2012,municipal,AL,2702108,Colônia Leopoldina,Não cristãos,9868,9868,1.0,cristaos_vs_nao_cristaos
2012,municipal,AL,2702207,Coqueiro Seco,Cristãos,88,3520,0.025,cristaos_vs_nao_cristaos
2012,municipal,AL,2702207,Coqueiro Seco,Não cristãos,3432,3520,0.975,cristaos_vs_nao_cristaos
2012,municipal,AL,2702306,Coruripe,Cristãos,189,27304,0.006922062701435687,cristaos_vs_nao_cristaos
2012,municipal,AL,2702306,Coruripe,Não cristãos,27115,27304,0.9930779372985643,cristaos_vs_nao_cristaos
2012,municipal,AL,2702355,Craíbas,Cristãos,99,12015,0.008239700374531835,cristaos_vs_nao_cristaos
2012,municipal,AL,2702355,Craíbas,Não cristãos,11916,12015,0.9917602996254682,cristaos_vs_nao_cristaos
2012,municipal,AL,2702405,Delmiro Gouveia,Cristãos,435,24762,0.017567240125999514,cristaos_vs_nao_cristaos
2012,municipal,AL,2702405,Delmiro Gouveia,Não cristãos,24327,24762,0.9824327598740005,cristaos_vs_nao_cristaos
2012,municipal,AL,2702504,Dois Riachos,Não cristãos,6122,6122,1.0,cristaos_vs_nao_cristaos
2012,municipal,AL,2702553,Estrela De Alagoas,Não cristãos,7732,7732,1.0,cristaos_vs_nao_cristaos
2012,municipal,AL,2702603,Feira Grande,Cristãos,503,11843,0.04247234653381744,cristaos_vs_nao_cristaos
2012,municipal,AL,2702603,Feira Grande,Não cristãos,11340,11843,0.9575276534661825,cristaos_vs_nao_cristaos
2012,municipal,AL,2702702,Feliz Deserto,Não cristãos,2636,2636,1.0,cristaos_vs_nao_cristaos
2012,municipal,AL,2702801,Flexeiras,Não cristãos,5597,5597,1.0,cristaos_vs_nao_cristaos
2012,municipal,AL,2702900,Girau Do Ponciano,Não cristãos,16562,16562,1.0,cristaos_vs_nao_cristaos
2012,municipal,AL,2703007,Ibateguara,Cristãos,105,7487,0.014024308801923334,cristaos_vs_nao_cristaos
2012,municipal,AL,2703007,Ibateguara,Não cristãos,7382,7487,0.9859756911980767,cristaos_vs_nao_cristaos
2012,municipal,AL,2703106,Igaci,Não cristãos,12435,12435,1.0,cristaos_vs_nao_cristaos
2012,municipal,AL,2703205,Igreja Nova,Cristãos,21,12050,0.0017427385892116183,cristaos_vs_nao_cristaos
2012,municipal,AL,2703205,Igreja Nova,Não cristãos,12029,12050,0.9982572614107884,cristaos_vs_nao_cristaos
2012,municipal,AL,2703304,Inhapi,Cristãos,16,8217,0.0019471826700742363,cristaos_vs_nao_cristaos
2012,municipal,AL,2703304,Inhapi,Não cristãos,8201,8217,0.9980528173299258,cristaos_vs_nao_cristaos
2012,municipal,AL,2703403,Jacaré Dos Homens,Não cristãos,3443,3443,1.0,cristaos_vs_nao_cristaos
2012,municipal,AL,2703502,Jacuípe,Não cristãos,3761,3761,1.0,cristaos_vs_nao_cristaos
2012,municipal,AL,2703601,Japaratinga,Não cristãos,4607,4607,1.0,cristaos_vs_nao_cristaos
2012,municipal,AL,2703700,Jaramataia,Cristãos,0,3358,0.0,cristaos_vs_nao_cristaos
2012,municipal,AL,2703700,Jaramataia,Não cristãos,3358,3358,1.0,cristaos_vs_nao_cristaos
2012,municipal,AL,2703759,Jequiá Da Praia,Não cristãos,5739,5739,1.0,cristaos_vs_nao_cristaos
2012,municipal,AL,2703809,Joaquim Gomes,Cristãos,12,8906,0.001347406242982259,cristaos_vs_nao_cristaos
