ANO_ELEICAO_ANALISE,ESFERA,SG_UF,grupo_religioso,votos,total_recorte,pct_votos,comparacao,codarea
2012,municipal,AC,Cristãos,8658,355741,0.024337931247733605,cristaos_vs_nao_cristaos,12
2012,municipal,AC,Não cristãos,347083,355741,0.9756620687522664,cristaos_vs_nao_cristaos,12
2012,municipal,AL,Cristãos,30274,1471149,0.020578473016669284,cristaos_vs_nao_cristaos,27
2012,municipal,AL,Não cristãos,1440875,1471149,0.9794215269833307,cristaos_vs_nao_cristaos,27
2012,municipal,AM,Cristãos,26553,1578560,0.01682102675856477,cristaos_vs_nao_cristaos,13
2012,municipal,AM,Não cristãos,1552007,1578560,0.9831789732414352,cristaos_vs_nao_cristaos,13
2012,municipal,AP,Cristãos,17054,339287,0.05026423057765255,cristaos_vs_nao_cristaos,16
2012,municipal,AP,Não cristãos,322233,339287,0.9497357694223475,cristaos_vs_nao_cristaos,16
2012,municipal,BA,Cristãos,422011,7002618,0.06026474669902028,cristaos_vs_nao_cristaos,29
2012,municipal,BA,Não cristãos,6580607,7002618,0.9397352533009797,cristaos_vs_nao_cristaos,29
2012,municipal,CE,Cristãos,45414,4457048,0.01018925530979249,cristaos_vs_nao_cristaos,23
2012,municipal,CE,Não cristãos,4411634,4457048,0.9898107446902075,cristaos_vs_nao_cristaos,23
2012,municipal,ES,Cristãos,52145,1897304,0.02748373481529581,cristaos_vs_nao_cristaos,32
2012,municipal,ES,Não cristãos,1845159,1897304,0.9725162651847042,cristaos_vs_nao_cristaos,32
2012,municipal,GO,Cristãos,100674,3134100,0.03212214032736671,cristaos_vs_nao_cristaos,52
2012,municipal,GO,Não cristãos,3033426,3134100,0.9678778596726333,cristaos_vs_nao_cristaos,52
2012,municipal,MA,Cristãos,107564,3257606,0.03301933996929033,cristaos_vs_nao_cristaos,21
2012,municipal,MA,Não cristãos,3150042,3257606,0.9669806600307097,cristaos_vs_nao_cristaos,21
2012,municipal,MG,Cristãos,381727,10641537,0.0358714159430165,cristaos_vs_nao_cristaos,31
2012,municipal,MG,Não cristãos,10259810,10641537,0.9641285840569835,cristaos_vs_nao_cristaos,31
2012,municipal,MS,Cristãos,27640,1252711,0.02206414727738481,cristaos_vs_nao_cristaos,50
2012,municipal,MS,Não cristãos,1225071,1252711,0.9779358527226152,cristaos_vs_nao_cristaos,50
2012,municipal,MT,Cristãos,29705,1554171,0.01911308343805154,cristaos_vs_nao_cristaos,51
2012,municipal,MT,Não cristãos,1524466,1554171,0.9808869165619485,cristaos_vs_nao_cristaos,51
2012,municipal,PA,Cristãos,127166,3691284,0.03445034302427014,cristaos_vs_nao_cristaos,15
2012,municipal,PA,Não cristãos,3564118,3691284,0.9655496569757298,cristaos_vs_nao_cristaos,15
2012,municipal,PB,Cristãos,28337,2111980,0.013417267208969783,cristaos_vs_nao_cristaos,25
2012,municipal,PB,Não cristãos,2083643,2111980,0.9865827327910303,cristaos_vs_nao_cristaos,25
2012,municipal,PE,Cristãos,77190,4703961,0.01640957482428107,cristaos_vs_nao_cristaos,26
2012,municipal,PE,Não cristãos,4626771,4703961,0.9835904251757189,cristaos_vs_nao_cristaos,26
2012,municipal,PI,Cristãos,30913,1753776,0.017626538394869128,cristaos_vs_nao_cristaos,22
2012,municipal,PI,Não cristãos,1722863,1753776,0.9823734616051308,cristaos_vs_nao_cristaos,22
2012,municipal,PR,Cristãos,128863,5758881,0.02237639569214922,cristaos_vs_nao_cristaos,41
2012,municipal,PR,Não cristãos,5630018,5758881,0.9776236043078508,cristaos_vs_nao_cristaos,41
2012,municipal,RJ,Cristãos,165127,7657859,0.021563076572707854,cristaos_vs_nao_cristaos,33
2012,municipal,RJ,Não cristãos,7492732,7657859,0.9784369234272922,cristaos_vs_nao_cristaos,33
2012,municipal,RN,Cristãos,18151,1794850,0.010112822798562553,cristaos_vs_nao_cristaos,24
2012,municipal,RN,Não cristãos,1776699,1794850,0.9898871772014375,cristaos_vs_nao_cristaos,24
2012,municipal,RO,Cristãos,25500,797699,0.031966944925341516,cristaos_vs_nao_cristaos,11
2012,municipal,RO,Não cristãos,772199,797699,0.9680330550746585,cristaos_vs_nao_cristaos,11
2012,municipal,RR,Cristãos,7891,226005,0.03491515674431982,cristaos_vs_nao_cristaos,14
2012,municipal,RR,Não cristãos,218114,226005,0.9650848432556802,cristaos_vs_nao_cristaos,14
2012,municipal,RS,Cristãos,85335,6102206,0.013984286993916626,cristaos_vs_nao_cristaos,43
2012,municipal,RS,Não cristãos,6016871,6102206,0.9860157130060834,cristaos_vs_nao_cristaos,43
2012,municipal,SC,Cristãos,46838,3675313,0.012743948610635339,cristaos_vs_nao_cristaos,42
2012,municipal,SC,Não cristãos,3628475,3675313,0.9872560513893647,cristaos_vs_nao_cristaos,42
2012,municipal,SE,Cristãos,76265,1125326,0.06777147244442944,cristaos_vs_nao_cristaos,28
2012,municipal,SE,Não cristãos,1049061,1125326,0.9322285275555706,cristaos_vs_nao_cristaos,28
2012,municipal,SP,Cristãos,699570,20083484,0.03483309967533522,cristaos_vs_nao_cristaos,35
2012,municipal,SP,Não cristãos,19383914,20083484,0.9651669003246648,cristaos_vs_nao_cristaos,35
2012,municipal,TO,Cristãos,17780,752593,0.02362498721088291,cristaos_vs_nao_cristaos,17
