ANO_ELEICAO_ANALISE,ESFERA,variavel,grupo_a,grupo_b,n_a,n_b,media_a,media_b,diferenca_media,teste,estatistica,p_valor
2012,municipal,receita_total,direita,esquerda,5533,3387,5796.740240375927,2693.3436876291703,3103.3965527467567,t_welch,1.0297726232741276,0.30315707265600333
2012,municipal,receita_publica,direita,esquerda,5533,3387,0.0,0.0,0.0,t_welch,,
2012,municipal,receita_pessoa_fisica,direita,esquerda,5533,3387,0.0,0.0,0.0,t_welch,,
2012,municipal,receita_recursos_proprios,direita,esquerda,5533,3387,0.0,0.0,0.0,t_welch,,
2012,municipal,receita_partido_ou_candidato,direita,esquerda,5533,3387,0.0,0.0,0.0,t_welch,,
2012,municipal,receita_estimavel,direita,esquerda,5533,3387,0.0,0.0,0.0,t_welch,,
2012,municipal,despesa_contratada,direita,esquerda,5533,3387,5334.950840412073,1913.4552878653678,3421.4955525467058,t_welch,1.1678256255662502,0.24292708058911266
2012,municipal,despesa_paga,direita,esquerda,5533,3387,0.0,0.0,0.0,t_welch,,
2012,municipal,doadores_distintos,direita,esquerda,5533,3387,1.4122537502259171,1.3607912607026866,0.051462489523230515,t_welch,1.9434591515411073,0.05200164336546703
2012,municipal,pct_receita_publica,direita,esquerda,4303,2542,0.0,0.0,0.0,t_welch,,
2012,municipal,pct_receita_pessoa_fisica,direita,esquerda,4303,2542,0.0,0.0,0.0,t_welch,,
2012,municipal,log_receita_total,direita,esquerda,5533,3387,5.383063540485613,5.1029171156660995,0.28014642481951313,t_welch,3.9999744316269945,6.399239901004565e-05
2014,estadual,receita_total,direita,esquerda,242,108,41995.14681818182,40978.70851851851,1016.4382996633067,t_welch,0.10125868065316433,0.9194214026695059
2014,estadual,receita_publica,direita,esquerda,242,108,0.0,0.0,0.0,t_welch,,
2014,estadual,receita_pessoa_fisica,direita,esquerda,242,108,0.0,0.0,0.0,t_welch,,
2014,estadual,receita_recursos_proprios,direita,esquerda,242,108,0.0,0.0,0.0,t_welch,,
2014,estadual,receita_partido_ou_candidato,direita,esquerda,242,108,0.0,0.0,0.0,t_welch,,
2014,estadual,receita_estimavel,direita,esquerda,242,108,0.0,0.0,0.0,t_welch,,
2014,estadual,despesa_contratada,direita,esquerda,242,108,42379.186776859504,41496.328888888886,882.8578879706183,t_welch,0.08697904172741719,0.9307547161767549
2014,estadual,despesa_paga,direita,esquerda,242,108,0.0,0.0,0.0,t_welch,,
2014,estadual,doadores_distintos,direita,esquerda,242,108,6.913223140495868,9.25,-2.3367768595041323,t_welch,-0.9393065513715743,0.34863876479786543
2014,estadual,pct_receita_publica,direita,esquerda,178,87,0.0,0.0,0.0,t_welch,,
2014,estadual,pct_receita_pessoa_fisica,direita,esquerda,178,87,0.0,0.0,0.0,t_welch,,
2014,estadual,log_receita_total,direita,esquerda,242,108,6.876483899420047,7.495862229196116,-0.6193783297760689,t_welch,-1.2670351136522415,0.20647188777701952
2014,federal,receita_total,direita,esquerda,116,43,75965.42853448277,169607.18558139534,-93641.75704691258,t_welch,-0.8211888578891146,0.4159425072944389
