ANO_ELEICAO_ANALISE,ESFERA,variavel,grupo_a,grupo_b,n_a,n_b,media_a,media_b,diferenca_media,teste,estatistica,p_valor
2012,municipal,receita_total,True,False,12144,438551,3886.9066254940712,2673.712982252919,1213.1936432411521,t_welch,0.8987439206241181,0.3688068449848143
2012,municipal,receita_publica,True,False,12144,438551,0.0,0.0,0.0,t_welch,,
2012,municipal,receita_pessoa_fisica,True,False,12144,438551,0.0,0.0,0.0,t_welch,,
2012,municipal,receita_recursos_proprios,True,False,12144,438551,0.0,0.0,0.0,t_welch,,
2012,municipal,receita_partido_ou_candidato,True,False,12144,438551,0.0,0.0,0.0,t_welch,,
2012,municipal,receita_estimavel,True,False,12144,438551,0.0,0.0,0.0,t_welch,,
2012,municipal,despesa_contratada,True,False,12144,438551,3432.5639632740445,2347.6265137920104,1084.937449482034,t_welch,0.813024890115651,0.41621968682610366
2012,municipal,despesa_paga,True,False,12144,438551,0.0,0.0,0.0,t_welch,,
2012,municipal,doadores_distintos,True,False,12144,438551,1.3568840579710144,1.3911175667140196,-0.034233508743005236,t_welch,-3.1827054875372287,0.001462544597360961
2012,municipal,pct_receita_publica,True,False,9216,339106,0.0,0.0,0.0,t_welch,,
2012,municipal,pct_receita_pessoa_fisica,True,False,9216,339106,0.0,0.0,0.0,t_welch,,
2012,municipal,pct_receita_recursos_proprios,True,False,9216,339106,0.0,0.0,0.0,t_welch,,
2012,municipal,log_receita_total,True,False,12144,438551,5.203043150908075,5.349649845771236,-0.14660669486316102,t_welch,-4.944051673221501,7.748420803874967e-07
2012,municipal,log_despesa_contratada,True,False,12144,438551,5.130680156081263,5.299462033664494,-0.16878187758323104,t_welch,-5.7320935181331185,1.0143514698405339e-08
2014,estadual,receita_total,True,False,575,17456,33223.102973913046,71398.22467117323,-38175.12169726018,t_welch,-9.800478251560518,1.2870574435379471e-21
2014,estadual,receita_publica,True,False,575,17456,0.0,0.0,0.0,t_welch,,
2014,estadual,receita_pessoa_fisica,True,False,575,17456,0.0,0.0,0.0,t_welch,,
2014,estadual,receita_recursos_proprios,True,False,575,17456,0.0,0.0,0.0,t_welch,,
2014,estadual,receita_partido_ou_candidato,True,False,575,17456,0.0,0.0,0.0,t_welch,,
