ANO_ELEICAO_ANALISE,variavel,grupo_a,grupo_b,n_a,n_b,media_a,media_b,diferenca_media,teste,estatistica,p_valor
2012,populacao_tcu,direita,esquerda,479,227,113022.60960334029,75708.84581497798,37313.76378836231,t_welch,1.1741677214290624,0.24075200618043174
2012,votos_cristaos_eleitos,direita,esquerda,479,227,1136.7160751565762,791.0837004405287,345.6323747160475,t_welch,1.7051439023314992,0.0886558628111155
2012,candidatos_eleitos,direita,esquerda,479,227,1.116910229645094,1.066079295154185,0.05083093449090881,t_welch,2.1670462759109355,0.030613219345430456
2014,populacao_tcu,direita,esquerda,2907,2408,39096.639146886824,42521.50622923588,-3424.867082349054,t_welch,-0.4772030260787159,0.6332384462922735
2014,votos_cristaos_eleitos,direita,esquerda,2907,2408,582.3371173030616,404.3920265780731,177.94509072498852,t_welch,1.8912311375590656,0.058652353165731384
2014,candidatos_eleitos,direita,esquerda,2907,2408,2.1379428964568286,1.3338870431893688,0.8040558532674598,t_welch,36.37962993445385,1.1153887281132944e-257
2016,populacao_tcu,direita,esquerda,529,224,119838.17202268432,66497.41517857143,53340.75684411288,t_welch,1.7269559382778392,0.08460154939684268
2016,votos_cristaos_eleitos,direita,esquerda,529,224,1117.085066162571,709.4285714285714,407.65649473399947,t_welch,2.014882011471961,0.04431854604087086
2016,candidatos_eleitos,direita,esquerda,529,224,1.1228733459357279,1.0892857142857142,0.03358763165001366,t_welch,1.2704408542172279,0.20453792986177688
2018,populacao_tcu,direita,esquerda,3295,2162,40388.0473444613,42158.62904717854,-1770.581702717238,t_welch,-0.23797331199514318,0.8119137715679721
2018,votos_cristaos_eleitos,direita,esquerda,3295,2162,354.57147192716235,210.3903792784459,144.18109264871646,t_welch,3.238129466188915,0.0012119486163812638
2018,candidatos_eleitos,direita,esquerda,3295,2162,1.3660091047040972,1.2229417206290472,0.14306738407505004,t_welch,10.542827269606558,9.716663353070376e-26
2020,populacao_tcu,direita,esquerda,660,224,104240.68787878788,65257.72767857143,38982.960200216454,t_welch,1.027620256881469,0.30462960419391943
2020,votos_cristaos_eleitos,direita,esquerda,660,224,921.8151515151516,540.3392857142857,381.4758658008659,t_welch,2.514604510363699,0.01211349106585442
2020,candidatos_eleitos,direita,esquerda,660,224,1.1257575757575757,1.0848214285714286,0.04093614718614713,t_welch,1.5581529815312272,0.11989941490670569
2022,populacao_tcu,direita,esquerda,2287,1588,45473.32225623087,37260.748740554154,8212.573515676719,t_welch,1.1089547591280788,0.2675185571191565
2022,votos_cristaos_eleitos,direita,esquerda,2287,1588,460.8727590730214,206.7109571788413,254.16180189418012,t_welch,4.1379389104277315,3.5955398220942174e-05
2022,candidatos_eleitos,direita,esquerda,2287,1588,1.3874070835155226,1.38727959697733,0.00012748653819261158,t_welch,0.007179492568230505,0.9942720190499267
2024,populacao_tcu,direita,esquerda,630,229,87795.57142857143,84521.03930131004,3274.5321272613946,t_welch,0.08700290541645232,0.9307099248062202
2024,votos_cristaos_eleitos,direita,esquerda,630,229,1057.9476190476191,895.0087336244542,162.93888542316495,t_welch,0.9471901962165247,0.34382937760585125
2024,candidatos_eleitos,direita,esquerda,630,229,1.1333333333333333,1.1004366812227073,0.03289665211062598,t_welch,1.262595731516136,0.20732399322533185
