comparacao,ANO_ELEICAO_ANALISE,ESFERA,tipo_receita,variavel,grupo_a,grupo_b,n_a,n_b,media_a,media_b,diferenca_media,teste,estatistica,p_valor
cristaos_vs_nao_cristaos,2012,municipal,Recursos proprios,valor_receita,True,False,12144,438551,1012.1252058629776,1216.7829862433332,-204.65778038035558,t_welch,-6.687600870354589,2.3582680090818302e-11
cristaos_vs_nao_cristaos,2012,municipal,Recursos proprios,pct_receita_tipo,True,False,12144,438551,0.339362812681388,0.36559766604849275,-0.026234853367104738,t_welch,-6.837229799812986,8.439018499374268e-12
cristaos_vs_nao_cristaos,2012,municipal,Recursos de pessoas juridicas,valor_receita,True,False,12144,438551,331.9094482872201,346.00520733050433,-14.09575904328426,t_welch,-0.19481042519830272,0.8455445257369973
cristaos_vs_nao_cristaos,2012,municipal,Recursos de pessoas juridicas,pct_receita_tipo,True,False,12144,438551,0.042616422338135194,0.03978108588127927,0.002835336456855922,t_welch,1.8223909638699411,0.06841904947020942
cristaos_vs_nao_cristaos,2012,municipal,Recursos de outros candidatos/comites,valor_receita,True,False,12144,438551,2248.7670092226613,784.2905772874764,1464.4764319351848,t_welch,1.097962323147592,0.2722426872534398
cristaos_vs_nao_cristaos,2012,municipal,Recursos de outros candidatos/comites,pct_receita_tipo,True,False,12144,438551,0.3433285744981306,0.3327420618470645,0.010586512651066082,t_welch,2.749436645034562,0.005978149390466081
cristaos_vs_nao_cristaos,2012,municipal,Recursos de partido politico,valor_receita,True,False,12144,438551,294.04896739130436,326.52170956171574,-32.47274217041138,t_welch,-0.3768923845160835,0.706258114765386
cristaos_vs_nao_cristaos,2012,municipal,Recursos de partido politico,pct_receita_tipo,True,False,12144,438551,0.033559563555824436,0.03511195756512843,-0.0015523940093039937,t_welch,-1.122755212607619,0.2615624338517558
cristaos_vs_nao_cristaos,2012,municipal,Recursos de doacoes pela Internet,valor_receita,True,False,12144,438551,0.039525691699604744,0.08188509432198308,-0.04235940262237834,t_welch,-0.7250928162234174,0.4683981328895513
cristaos_vs_nao_cristaos,2012,municipal,Recursos de doacoes pela Internet,pct_receita_tipo,True,False,12144,438551,2.4858925597235686e-05,7.33865274464593e-06,1.7520272852589757e-05,t_welch,0.6997074622099437,0.4841230365372519
cristaos_vs_nao_cristaos,2012,municipal,Comercializacao de bens e/ou realizacao de eventos,valor_receita,True,False,12144,438551,0.016469038208168644,0.027992183349256985,-0.011523145141088341,t_welch,-0.4048364297151788,0.6855986354103893
cristaos_vs_nao_cristaos,2012,municipal,Comercializacao de bens e/ou realizacao de eventos,pct_receita_tipo,True,False,12144,438551,1.0486333356363e-06,8.878955766490039e-07,1.6073775898729606e-07,t_welch,0.1314835486623504,0.8953939833577121
cristaos_vs_nao_cristaos,2012,municipal,Recursos de origens nao identificadas,valor_receita,True,False,12144,438551,0.0,0.0026245522185561086,-0.0026245522185561086,t_welch,-1.044337021707701,0.2963300656970051
cristaos_vs_nao_cristaos,2012,municipal,Recursos de origens nao identificadas,pct_receita_tipo,True,False,12144,438551,0.0,8.82757574459496e-07,-8.82757574459496e-07,t_welch,-1.0431988251145634,0.296856792561564
cristaos_vs_nao_cristaos,2014,federal,Recursos de pessoas fisicas,valor_receita,True,False,250,7071,8514.0656,23922.47718144534,-15408.411581445342,t_welch,-8.071903394436735,4.7607344495035055e-15
cristaos_vs_nao_cristaos,2014,federal,Recursos de pessoas fisicas,pct_receita_tipo,True,False,250,7071,0.2275365690517192,0.2188125386389869,0.008724030412732314,t_welch,0.4035523811931311,0.6868672549052206
cristaos_vs_nao_cristaos,2014,estadual,Recursos de pessoas fisicas,valor_receita,True,False,575,17456,9408.654643478261,15081.684341200733,-5673.029697722472,t_welch,-4.463394626143019,9.330300093883818e-06
cristaos_vs_nao_cristaos,2014,estadual,Recursos de pessoas fisicas,pct_receita_tipo,True,False,575,17456,0.21055517648888772,0.22384664782708388,-0.013291471338196165,t_welch,-1.0132487251107445,0.31134001312778414
cristaos_vs_nao_cristaos,2014,estadual,Recursos proprios,valor_receita,True,False,575,17456,6920.354434782608,11340.114490719525,-4419.760055936917,t_welch,-3.6727743514161038,0.00025496793499772235
cristaos_vs_nao_cristaos,2014,estadual,Recursos proprios,pct_receita_tipo,True,False,575,17456,0.11427637311808464,0.11636591590204727,-0.0020895427839626307,t_welch,-0.20875287371622184,0.8347106059339572
cristaos_vs_nao_cristaos,2014,federal,Recursos de partido politico,valor_receita,True,False,250,7071,35637.072159999996,74354.67785320322,-38717.60569320322,t_welch,-2.2018991203371527,0.02847164525762902
cristaos_vs_nao_cristaos,2014,federal,Recursos de partido politico,pct_receita_tipo,True,False,250,7071,0.16078447527231177,0.1703080824814501,-0.009523607209138335,t_welch,-0.47344759944198417,0.6362819387338469
cristaos_vs_nao_cristaos,2014,federal,Recursos de pessoas juridicas,valor_receita,True,False,250,7071,9453.54,59299.05158252015,-49845.51158252015,t_welch,-9.870314589888952,7.387466079114921e-22
cristaos_vs_nao_cristaos,2014,federal,Recursos de pessoas juridicas,pct_receita_tipo,True,False,250,7071,0.04650003181680076,0.07487558545807017,-0.02837555364126941,t_welch,-2.7238520896919303,0.006868828287338435
cristaos_vs_nao_cristaos,2014,federal,Recursos proprios,valor_receita,True,False,250,7071,6151.51692,21065.72073256965,-14914.20381256965,t_welch,-6.370157001274183,2.419811736373548e-10
cristaos_vs_nao_cristaos,2014,federal,Recursos proprios,pct_receita_tipo,True,False,250,7071,0.10445413182495647,0.12689623945816414,-0.02244210763320767,t_welch,-1.5104988046646557,0.13208528783469217
cristaos_vs_nao_cristaos,2014,federal,Rendimentos de aplicacoes financeiras,valor_receita,True,False,250,7071,1.49048,13.301953047659454,-11.811473047659454,t_welch,-3.349205727502745,0.0008168463282941344
