ANO_ELEICAO_ANALISE,ESFERA,tipo_despesa,variavel,n_eleitos,n_derrotados,media_eleitos,media_derrotados,diferenca_media,teste,estatistica,p_valor
2012,municipal,Publicidade por materiais impressos,pct_despesa_tipo,1096,11048,0.3363555475333504,0.17348654640366268,0.16286900112968772,t_welch,15.876873235597019,5.0835874144896404e-52
2012,municipal,Baixa de Estimaveis - Publicidade por materiais impressos,pct_despesa_tipo,1096,11048,0.15655275071500668,0.25597241388362585,-0.09941966316861917,t_welch,-11.599974985507467,6.923209782204668e-30
2012,municipal,Combustiveis e lubrificantes,pct_despesa_tipo,1096,11048,0.14796671659962587,0.0518338220651702,0.09613289453445567,t_welch,14.60367437365054,1.2962210473055484e-44
2012,municipal,Baixa de Estimaveis - Cessao ou locacao de veiculos,pct_despesa_tipo,1096,11048,0.11375569720560645,0.049362764026283666,0.06439293317932279,t_welch,9.263759090794023,8.684837647340783e-20
2012,municipal,"Publicidade por placas, estandartes e faixas",pct_despesa_tipo,1096,11048,0.047340966774703924,0.020698130023590774,0.02664283675111315,t_welch,7.0671753579770495,2.6370704311668807e-12
2012,municipal,"Baixa de Estimaveis - Producao de programas de radio, televisao ou video",pct_despesa_tipo,1096,11048,0.006642923618926958,0.02803629479289091,-0.021393371173963952,t_welch,-15.410882529307639,1.452039577606958e-52
2012,municipal,"Baixa de Estimaveis - Publicidade por placas, estandartes e faixas",pct_despesa_tipo,1096,11048,0.026437621147594594,0.037303453312129135,-0.010865832164534541,t_welch,-3.481597633265767,0.0005127088678567152
2012,municipal,Baixa de Estimaveis - Servicos prestados por terceiros,pct_despesa_tipo,1096,11048,0.00989343239231101,0.01519609356238644,-0.00530266117007543,t_welch,-2.956267487867013,0.0031537741502491077
2012,municipal,Publicidade por jornais e revistas,pct_despesa_tipo,1096,11048,0.009797503726295839,0.00465422455440335,0.005143279171892489,t_welch,3.7282376950582194,0.00020135994389906803
2012,municipal,"Producao de jingles, vinhetas e slogans",pct_despesa_tipo,1096,11048,0.007279181195433622,0.003096009722300869,0.004183171473132753,t_welch,2.7996703947218826,0.005197241838218088
2012,municipal,Diversas a especificar,pct_despesa_tipo,1096,11048,0.010132777558518836,0.006234064277633066,0.00389871328088577,t_welch,2.213961096797933,0.027004324821203542
2012,municipal,Cessao ou locacao de veiculos,pct_despesa_tipo,1096,11048,0.004083056407429438,0.0007581662474413001,0.003324890159988138,t_welch,2.726386405967105,0.0065018177921057525
2012,municipal,Publicidade por carros de som,pct_despesa_tipo,1096,11048,0.004915933380614045,0.0021113728887154227,0.0028045604918986227,t_welch,2.185628933267477,0.02903383088610114
2012,municipal,Correspondencias e despesas postais,pct_despesa_tipo,1096,11048,0.0028829748653864343,0.0007624655475530496,0.0021205093178333846,t_welch,2.5850761795256947,0.009855774427334683
2012,municipal,Servicos prestados por terceiros,pct_despesa_tipo,1096,11048,0.0034267205735360085,0.005251045491676972,-0.0018243249181409634,t_welch,-2.0832722471443854,0.0373369458880125
2014,estadual,Publicidade por materiais impressos,pct_despesa_tipo,33,542,0.2547481699819449,0.0933512572894416,0.16139691269250328,t_welch,5.272842611708733,5.912565060381398e-06
2014,estadual,Baixa de Estimaveis - Servicos prestados por terceiros,pct_despesa_tipo,33,542,0.03202263992634834,0.1287357582201266,-0.09671311829377825,t_welch,-6.1079431306310195,1.2083154536449357e-08
2014,estadual,Baixa de Estimaveis - Publicidade por materiais impressos,pct_despesa_tipo,33,542,0.04735204795692367,0.11585880557901271,-0.06850675762208905,t_welch,-5.1782133693684065,9.629797307929502e-07
2014,estadual,Baixa de Estimaveis - Cessao ou locacao de veiculos,pct_despesa_tipo,33,542,0.0846281079041826,0.0373398965179713,0.047288211386211296,t_welch,2.0716050121783987,0.04575085448236398
