comparacao,ANO_ELEICAO_ANALISE,ESFERA,tipo_receita,variavel,grupo_a,grupo_b,n_a,n_b,media_a,media_b,diferenca_media,teste,estatistica,p_valor
cristaos_direita_vs_centro,2012,municipal,Recursos proprios,pct_receita_tipo,direita,centro_ou_indefinido,5533,3224,0.34183945479617267,0.31909729535988784,0.022742159436284826,t_welch,2.4875354333856645,0.012887050216511011
cristaos_direita_vs_centro,2012,municipal,Recursos de pessoas juridicas,pct_receita_tipo,direita,centro_ou_indefinido,5533,3224,0.04837589280402167,0.04022489589432561,0.008150996909696062,t_welch,2.1538825212914947,0.03128242402751086
cristaos_direita_vs_centro,2012,municipal,Recursos de partido politico,pct_receita_tipo,direita,centro_ou_indefinido,5533,3224,0.030138167971874248,0.023585083272727014,0.006553084699147234,t_welch,2.199841122845699,0.027849037405696414
cristaos_direita_vs_centro,2018,estadual,Recursos de partido politico,pct_receita_tipo,direita,centro_ou_indefinido,283,236,0.418495940235746,0.31932339480903166,0.09917254542671433,t_welch,2.638060973370351,0.008595381000617025
cristaos_direita_vs_centro,2018,estadual,Recursos de pessoas fisicas,pct_receita_tipo,direita,centro_ou_indefinido,283,236,0.14964732854220347,0.21072584344905712,-0.06107851490685365,t_welch,-2.162638784040738,0.03108177165952238
cristaos_direita_vs_centro,2020,municipal,Recursos proprios,pct_receita_tipo,direita,centro_ou_indefinido,9981,3197,0.1791003469457705,0.16230638935721847,0.01679395758855204,t_welch,2.6239703974755644,0.008714638599273244
cristaos_direita_vs_centro,2022,estadual,Recursos de partido politico,pct_receita_tipo,direita,centro_ou_indefinido,371,177,0.5493506287589007,0.43119444108751215,0.11815618767138858,t_welch,2.79542273715557,0.005484874986868812
cristaos_direita_vs_centro,2022,federal,Recursos de partido politico,pct_receita_tipo,direita,centro_ou_indefinido,227,115,0.748634271384757,0.6405584069563011,0.10807586442845596,t_welch,2.154198212693454,0.03241135076457311
cristaos_direita_vs_centro,2024,municipal,Recursos de partido politico,pct_receita_tipo,direita,centro_ou_indefinido,8262,2824,0.2690980680660432,0.1667822450206444,0.1023158230453988,t_welch,13.045907536813756,2.3365152898334662e-38
cristaos_direita_vs_centro,2024,municipal,Recursos proprios,pct_receita_tipo,direita,centro_ou_indefinido,8262,2824,0.13301607441633917,0.15744780924132012,-0.024431734824980955,t_welch,-3.6969032286244508,0.00022080061378453936
cristaos_direita_vs_centro,2024,municipal,Recursos de outros candidatos,pct_receita_tipo,direita,centro_ou_indefinido,8262,2824,0.2517305711051015,0.27578088446954957,-0.024050313364448073,t_welch,-2.7610205861827493,0.005784380412899188
cristaos_direita_vs_centro,2024,municipal,Recursos de Financiamento Coletivo,pct_receita_tipo,direita,centro_ou_indefinido,8262,2824,0.00013584130433956786,1.9358153743756048e-05,0.00011648315059581181,t_welch,1.9862527135048895,0.04703504530009379
cristaos_direita_vs_esquerda,2012,municipal,Recursos de outros candidatos/comites,pct_receita_tipo,direita,esquerda,5533,3387,0.35734163450867823,0.31178207405848524,0.04555956045019299,t_welch,5.071442269951969,4.044771204787373e-07
cristaos_direita_vs_esquerda,2012,municipal,Recursos de partido politico,pct_receita_tipo,direita,esquerda,5533,3387,0.030138167971874248,0.04864320872816055,-0.018505040756286305,t_welch,-5.157132031367606,2.5864093920647954e-07
cristaos_direita_vs_esquerda,2012,municipal,Recursos de pessoas juridicas,pct_receita_tipo,direita,esquerda,5533,3387,0.04837589280402167,0.035484190618941876,0.012891702185079797,t_welch,3.5933782830923255,0.00032838300573836325
cristaos_direita_vs_esquerda,2020,municipal,Recursos de partido politico,pct_receita_tipo,direita,esquerda,9981,4172,0.17270882482002897,0.2349789514657072,-0.062270126645678214,t_welch,-9.128876065501725,8.859649166847165e-20
cristaos_direita_vs_esquerda,2020,municipal,Recursos de outros candidatos,pct_receita_tipo,direita,esquerda,9981,4172,0.22767638442470337,0.1994662476029918,0.028210136821711557,t_welch,4.303831162834294,1.6979184273426126e-05
cristaos_direita_vs_esquerda,2020,municipal,Recursos de origens nao identificadas,pct_receita_tipo,direita,esquerda,9981,4172,0.0005080474767542857,3.4794173135805523e-05,0.0004732533036184801,t_welch,2.533143310442374,0.011318663662294014
cristaos_direita_vs_esquerda,2022,estadual,Recursos de partido politico,pct_receita_tipo,direita,esquerda,371,129,0.5493506287589007,0.7669475516115501,-0.21759692285264942,t_welch,-5.759728051490365,2.1244132043412004e-08
cristaos_direita_vs_esquerda,2022,estadual,Recursos de outros candidatos,pct_receita_tipo,direita,esquerda,371,129,0.12956692092212224,0.055211569078032395,0.07435535184408984,t_welch,3.6009388001134424,0.00035787958465939465
cristaos_direita_vs_esquerda,2024,municipal,Recursos de partido politico,pct_receita_tipo,direita,esquerda,8262,3178,0.2690980680660432,0.3263868515322115,-0.05728878346616828,t_welch,-6.560701637891033,5.838990654635592e-11
cristaos_direita_vs_esquerda,2024,municipal,Recursos de outros candidatos,pct_receita_tipo,direita,esquerda,8262,3178,0.2517305711051015,0.20174453801416417,0.049986033090937326,t_welch,6.587455397033368,4.838248450255342e-11
cristaos_eleitos_vs_derrotados,2012,municipal,Recursos proprios,pct_receita_tipo,True,False,1096,11048,0.6325580849074851,0.31027682260537404,0.32228126230211107,t_welch,26.000430103712358,4.43260521861953e-121
cristaos_eleitos_vs_derrotados,2012,municipal,Recursos de outros candidatos/comites,pct_receita_tipo,True,False,1096,11048,0.24031143923398554,0.3535482323773398,-0.11323679314335425,t_welch,-10.296974486692989,4.728076284915507e-24
cristaos_eleitos_vs_derrotados,2012,municipal,Recursos de pessoas juridicas,pct_receita_tipo,True,False,1096,11048,0.07337832320035832,0.0395647348521652,0.033813588348193126,t_welch,5.598485942430637,2.6504810153892033e-08
cristaos_eleitos_vs_derrotados,2014,estadual,Recursos de pessoas fisicas,pct_receita_tipo,True,False,33,542,0.3616445373123981,0.201356008763471,0.16028852854892708,t_welch,3.316670365266838,0.0020335838224245146
cristaos_eleitos_vs_derrotados,2014,estadual,Recursos proprios,pct_receita_tipo,True,False,33,542,0.22735144088297024,0.10739172877077614,0.1199597121121941,t_welch,2.700768677984123,0.010528367241689972
cristaos_eleitos_vs_derrotados,2014,estadual,Recursos de pessoas juridicas,pct_receita_tipo,True,False,33,542,0.13147194961237987,0.02892251194353686,0.10254943766884302,t_welch,3.923764775163914,0.00039754602422278256
cristaos_eleitos_vs_derrotados,2014,federal,Recursos de pessoas fisicas,pct_receita_tipo,True,False,8,242,0.11326969283872877,0.2313139864471899,-0.11804429360846112,t_welch,-2.628909584715521,0.02198670914097475
cristaos_eleitos_vs_derrotados,2018,estadual,Recursos proprios,pct_receita_tipo,True,False,21,629,0.2529815636090285,0.08305012576127555,0.16993143784775297,t_welch,2.3324460689800204,0.02991057472490222
cristaos_eleitos_vs_derrotados,2018,federal,Recursos de partido politico,pct_receita_tipo,True,False,16,286,0.7781477183140386,0.4086965835520151,0.3694511347620235,t_welch,4.694694817427485,0.0001632382127078649
cristaos_eleitos_vs_derrotados,2018,federal,Recursos de outros candidatos,pct_receita_tipo,True,False,16,286,0.036893126539381586,0.09581782415626797,-0.05892469761688638,t_welch,-2.906921394943515,0.005364010965205635
cristaos_eleitos_vs_derrotados,2020,municipal,Recursos de pessoas fisicas,pct_receita_tipo,True,False,1149,16201,0.39377290548247224,0.17602816064021112,0.2177447448422611,t_welch,19.65675775560751,2.2417022488402133e-75
cristaos_eleitos_vs_derrotados,2020,municipal,Recursos proprios,pct_receita_tipo,True,False,1149,16201,0.3043621043548458,0.16483179256852426,0.13953031178632153,t_welch,13.560624354125682,2.8431477603458765e-39
cristaos_eleitos_vs_derrotados,2020,municipal,Recursos de outros candidatos,pct_receita_tipo,True,False,1149,16201,0.13792505745985495,0.2243671314230386,-0.08644207396318365,t_welch,-10.386045763699592,1.9205270270514904e-24
cristaos_eleitos_vs_derrotados,2020,municipal,Recursos de partido politico,pct_receita_tipo,True,False,1149,16201,0.11876366864953679,0.19075525828305365,-0.07199158963351686,t_welch,-8.639424652754732,1.4587661048586822e-17
cristaos_eleitos_vs_derrotados,2022,federal,Recursos de outros candidatos,pct_receita_tipo,True,False,11,395,0.0017328987157579567,0.03867384905975061,-0.036940950343992654,t_welch,-4.621137262191847,5.141817310166381e-06
cristaos_eleitos_vs_derrotados,2024,municipal,Recursos de pessoas fisicas,pct_receita_tipo,True,False,1171,13093,0.3191156583001621,0.15165309049318543,0.16746256780697666,t_welch,15.303166346725613,8.64731293726897e-49
cristaos_eleitos_vs_derrotados,2024,municipal,Recursos proprios,pct_receita_tipo,True,False,1171,13093,0.21354741341883754,0.12869267516224897,0.08485473825658857,t_welch,9.196303769113323,1.3492204215934233e-19
cristaos_eleitos_vs_derrotados,2024,municipal,Recursos de outros candidatos,pct_receita_tipo,True,False,1171,13093,0.17544339348437055,0.251607967940974,-0.07616457445660346,t_welch,-7.910362250168287,4.88873481673062e-15
cristaos_esquerda_vs_centro,2012,municipal,Recursos de outros candidatos/comites,pct_receita_tipo,esquerda,centro_ou_indefinido,3387,3224,0.31178207405848524,0.35242092435877526,-0.04063885030029002,t_welch,-3.9608137606566056,7.548746330699707e-05
cristaos_esquerda_vs_centro,2012,municipal,Recursos proprios,pct_receita_tipo,esquerda,centro_ou_indefinido,3387,3224,0.3546072080234055,0.31909729535988784,0.03550991266351766,t_welch,3.4471006429198003,0.0005701684989561797
cristaos_esquerda_vs_centro,2012,municipal,Recursos de partido politico,pct_receita_tipo,esquerda,centro_ou_indefinido,3387,3224,0.04864320872816055,0.023585083272727014,0.02505812545543354,t_welch,6.644570923562858,3.3000286429571177e-11
cristaos_esquerda_vs_centro,2018,estadual,Recursos de outros candidatos,pct_receita_tipo,esquerda,centro_ou_indefinido,131,236,0.20629534658162008,0.13048060160365715,0.07581474497796292,t_welch,2.3446204029560906,0.019854252486840446
cristaos_esquerda_vs_centro,2018,federal,Recursos proprios,pct_receita_tipo,esquerda,centro_ou_indefinido,63,101,0.1612642286278637,0.07568614858860281,0.08557808003926087,t_welch,2.0147952552652497,0.0463741450003768
cristaos_esquerda_vs_centro,2020,municipal,Recursos de partido politico,pct_receita_tipo,esquerda,centro_ou_indefinido,4172,3197,0.2349789514657072,0.16351155104111062,0.07146740042459657,t_welch,8.567803399629746,1.2754737629186536e-17
cristaos_esquerda_vs_centro,2020,municipal,Recursos de origens nao identificadas,pct_receita_tipo,esquerda,centro_ou_indefinido,4172,3197,3.4794173135805523e-05,0.0013862491060474065,-0.001351454932911601,t_welch,-2.1270982051651517,0.03348784673610216
cristaos_esquerda_vs_centro,2020,municipal,Recursos de Financiamento Coletivo,pct_receita_tipo,esquerda,centro_ou_indefinido,4172,3197,0.0006988571358324437,0.00011420846391130862,0.0005846486719211351,t_welch,2.323790322449807,0.020177554230892233
cristaos_esquerda_vs_centro,2022,estadual,Recursos de partido politico,pct_receita_tipo,esquerda,centro_ou_indefinido,129,177,0.7669475516115501,0.43119444108751215,0.335753110524038,t_welch,7.268386538330633,3.0901311753511185e-12
cristaos_esquerda_vs_centro,2022,federal,Recursos de partido politico,pct_receita_tipo,esquerda,centro_ou_indefinido,64,115,0.7920545281314925,0.6405584069563011,0.1514961211751914,t_welch,2.4627813338529467,0.014852420532926772
cristaos_esquerda_vs_centro,2024,municipal,Recursos de partido politico,pct_receita_tipo,esquerda,centro_ou_indefinido,3178,2824,0.3263868515322115,0.1667822450206444,0.15960460651156708,t_welch,16.152429821400723,1.7966993732862506e-57
cristaos_esquerda_vs_centro,2024,municipal,Recursos de outros candidatos,pct_receita_tipo,esquerda,centro_ou_indefinido,3178,2824,0.20174453801416417,0.27578088446954957,-0.0740363464553854,t_welch,-7.511643534425251,6.74870681326014e-14
cristaos_esquerda_vs_centro,2024,municipal,Recursos proprios,pct_receita_tipo,esquerda,centro_ou_indefinido,3178,2824,0.12316733696900639,0.15744780924132012,-0.03428047227231373,t_welch,-4.541481165432592,5.701976517824518e-06
cristaos_esquerda_vs_centro,2024,municipal,Recursos de Financiamento Coletivo,pct_receita_tipo,esquerda,centro_ou_indefinido,3178,2824,0.0002706785553722614,1.9358153743756048e-05,0.0002513204016285054,t_welch,2.3112155029056614,0.02088266979854249
cristaos_vs_nao_cristaos,2012,municipal,Recursos proprios,pct_receita_tipo,True,False,12144,438551,0.339362812681388,0.36559766604849275,-0.026234853367104738,t_welch,-6.837229799812986,8.439018499374268e-12
cristaos_vs_nao_cristaos,2012,municipal,Recursos de outros candidatos/comites,pct_receita_tipo,True,False,12144,438551,0.3433285744981306,0.3327420618470645,0.010586512651066082,t_welch,2.749436645034562,0.005978149390466081
cristaos_vs_nao_cristaos,2014,estadual,Recursos de outros candidatos/comites,pct_receita_tipo,True,False,575,17456,0.2705890063672532,0.21999577521162844,0.05059323115562475,t_welch,3.251193909560254,0.0012130491349040843
cristaos_vs_nao_cristaos,2014,estadual,Recursos de partido politico,pct_receita_tipo,True,False,575,17456,0.1085520656295039,0.14492732973395295,-0.03637526410444905,t_welch,-3.3544514438895643,0.0008435162187713941
cristaos_vs_nao_cristaos,2014,estadual,Recursos de pessoas juridicas,pct_receita_tipo,True,False,575,17456,0.03480795793148785,0.06205260778410131,-0.027244649852613455,t_welch,-5.330315919397498,1.3484723648677557e-07
cristaos_vs_nao_cristaos,2014,estadual,Doacoes pela Internet,pct_receita_tipo,True,False,575,17456,0.0,7.80081882304729e-05,-7.80081882304729e-05,t_welch,-2.004470618002398,0.04503508891046172
cristaos_vs_nao_cristaos,2014,federal,Recursos de pessoas juridicas,pct_receita_tipo,True,False,250,7071,0.04650003181680076,0.07487558545807017,-0.02837555364126941,t_welch,-2.7238520896919303,0.006868828287338435
cristaos_vs_nao_cristaos,2018,estadual,Recursos proprios,pct_receita_tipo,True,False,650,18304,0.08854021836866449,0.11509110310205646,-0.02655088473339197,t_welch,-2.9056465347424734,0.0037799666093676658
cristaos_vs_nao_cristaos,2018,estadual,Recursos de Financiamento Coletivo,pct_receita_tipo,True,False,650,18304,0.0014220679223370864,0.004135164865926066,-0.00271309694358898,t_welch,-3.8569095605545223,0.00012309823803274811
cristaos_vs_nao_cristaos,2018,estadual,Recursos de origens nao identificadas,pct_receita_tipo,True,False,650,18304,1.7784027725905943e-05,0.0003921527720033288,-0.0003743687442774229,t_welch,-4.034806294633308,5.486170646685243e-05
